Uri,Creation Date,Submission Date,Deviceid,Meta Instance Id,Statecat,Habdistrict,Habblock,Habpanchayat,Habrvillage,Habitation,Site Name,Landuse,Oth Desc,Area,Protect Status,Protect By,Protect Oth,Plot No,Plot Lat,Plot Long,Plot Alt,Plot Acc,Steepness,Plot Direction,Soil Ero,Livstk Use,Insects Pest,Charcoal,Organic Matter,Crown Cover,Species Available,Habit,Scientific Name,Oth Value,Gbh Girth,Height,Fodder Species,Fodder Diversity,Green Weight,DBH
uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,1,21.1618159,85.3657417,66.3,4.445,3,Northeast,No,No,No,No,No,66-70,Yes,Tree,Kendu Diospyros melanoxylon,,20.0,11.0,,No,,6.366197723675814
uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,1,21.1618159,85.3657417,66.3,4.445,3,Northeast,No,No,No,No,No,66-70,Yes,Tree,Sala Shorea robusta,,128.0,8.0,,No,,40.74366543152521
uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,1,21.1618159,85.3657417,66.3,4.445,3,Northeast,No,No,No,No,No,66-70,Yes,Tree,Kendu Diospyros melanoxylon,,20.0,13.0,,No,,6.366197723675814
uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,1,21.1618159,85.3657417,66.3,4.445,3,Northeast,No,No,No,No,No,66-70,Yes,SaplingSeedling,Aanla Emblica officinal,,3.0,2.0,,No,,0.954929658551372
uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,1,21.1618159,85.3657417,66.3,4.445,3,Northeast,No,No,No,No,No,66-70,Yes,SaplingSeedling,Sala Shorea robusta,,2.0,2.0,,No,,0.6366197723675814
uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:eb1cc507-7d86-4a20-acd2-01883fba022a,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,1,21.1618159,85.3657417,66.3,4.445,3,Northeast,No,No,No,No,No,66-70,Yes,Tree,Sala Shorea robusta,,122.0,20.0,,No,,38.833806114422465
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Kendu Diospyros melanoxylon,,68.0,11.0,,No,,21.645072260497766
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,SaplingSeedling,Kendu Diospyros melanoxylon,,3.0,0.15,,No,,0.954929658551372
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,SaplingSeedling,Chara_Buchanania_lanzan,,2.0,1.0,,No,,0.6366197723675814
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Kendu Diospyros melanoxylon,,92.0,7.0,,No,,29.284509528908742
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Sala Shorea robusta,,88.0,13.0,,No,,28.01126998417358
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Sala Shorea robusta,,211.0,15.0,,No,,67.16338598477984
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Sala Shorea robusta,,24.0,8.0,,No,,7.639437268410976
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Sala Shorea robusta,,34.0,10.0,,No,,10.822536130248883
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Mai Lannea coromandelica,,67.0,12.0,,No,,21.326762374313976
uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,2023-04-05,2023-04-05,collect:HiCVz5dbIh0GNjmt,uuid:aed3394d-24b8-49c5-8e74-4b32b1995b2d,ODISHA,DHENKANAL,KANKADAHAD,PANGATIRA,RAIJHARANA,RAIJHARANA,Raijharan gramya jungle,Forest,,5.0,Protected,TGCS,,9,21.15983,85.3657549,75.1,3.0,3,North,No,Yes,No,No,No,86-90,Yes,Tree,Mai Lannea coromandelica,,108.0,9.0,,No,,34.37746770784939
