plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
18.55814_82.928984,KORAPUT,CHAMPAKENDA,,33.0,10,1,1.0,1,10,6,6,6,6,6
18.575806_82.837232,KORAPUT,HANDAPUR,,28.0,0,0,0.15791292328956463,1,30,10,10,10,11,10
18.576485_82.834653,KORAPUT,HANDAPUR,,28.0,0,1,1.0,1,30,11,6,6,6,6
18.576947_82.837561,KORAPUT,HANDAPUR,,33.0,0,1,1.0,1,10,6,6,6,6,6
18.577371_82.836942,KORAPUT,HANDAPUR,,23.0,0,1,1.0,1,30,6,6,6,6,6
18.577439_82.833436,KORAPUT,HANDAPUR,,38.0,0,1,1.0,1,10,6,6,6,6,6
18.577547_82.836866,KORAPUT,HANDAPUR,,28.0,0,1,1.0,1,10,6,6,6,6,6
18.577639_82.837776,KORAPUT,HANDAPUR,,33.0,0,1,1.0,1,10,6,6,6,6,6
18.577673_82.838437,KORAPUT,HANDAPUR,,38.0,0,1,1.0,1,30,6,6,6,6,6
18.577748_82.835758,KORAPUT,HANDAPUR,,23.0,0,1,1.0,1,30,6,6,6,6,6
18.577832_82.83856,KORAPUT,HANDAPUR,,23.0,0,1,1.0,1,30,6,6,6,6,6
18.578127_82.840014,KORAPUT,HANDAPUR,,18.0,0,1,1.0,1,30,6,6,6,6,6
18.578158_82.833453,KORAPUT,HANDAPUR,,48.0,3,1,0.9596273291925466,1,30,6,6,6,6,6
18.57816_82.833364,KORAPUT,HANDAPUR,,23.0,0,1,0.8607463718037319,1,30,6,11,11,6,6
18.578309_82.834858,KORAPUT,HANDAPUR,,38.0,0,1,1.0,1,10,6,6,6,6,6
18.578415_82.837159,KORAPUT,HANDAPUR,,28.0,0,1,1.0,1,30,6,6,6,6,6
18.57855_82.839376,KORAPUT,HANDAPUR,,38.0,0,1,1.0,1,30,6,6,6,6,6
18.578663_82.834354,KORAPUT,HANDAPUR,,18.0,0,1,1.0,1,10,6,6,6,6,6
18.578716_82.835005,KORAPUT,HANDAPUR,,23.0,0,1,1.0,1,30,6,6,6,6,6
