arm,plot_key,site_polygon,cached,fresh,cached_mapped_to_fresh_ids,moved_after_matching
v120,21.018825_85.612578,Balikurma,0,4,4,False
v120,21.018991_85.615656,Balikurma,0,4,4,False
v120,21.019655_85.619941,Balikurma,0,4,4,False
v120,21.019794_85.61085,Balikurma,0,4,4,False
v120,21.019849_85.61665,Balikurma,0,4,4,False
v120,21.021416_85.610006,Balikurma,0,4,4,False
v120,21.02179_85.618937,Balikurma,0,3,4,True
v120,21.021861_85.613366,Balikurma,0,4,4,False
v120,21.022286_85.61525,Balikurma,0,4,4,False
v120,21.023003_85.611504,Balikurma,0,4,4,False
v120,21.023941_85.616045,Balikurma,0,4,4,False
v120,21.040585_85.690666,Kampulei,0,4,4,False
v120,21.041399_85.688028,Kampulei,0,4,4,False
v120,21.043315_85.689977,Kampulei,0,4,4,False
v120,21.043929_85.684979,Kampulei,0,4,4,False
v120,21.044343_85.521868,Adhapalli,1,1,1,False
v120,21.044772_85.519605,Adhapalli,1,1,1,False
v120,21.045566_85.52362,Adhapalli,1,1,1,False
v120,21.046197_85.525567,Adhapalli,1,1,1,False
v120,21.046237_85.520861,Adhapalli,1,1,1,False
v120,21.046252_85.683699,Kampulei,0,4,4,False
v120,21.047075_85.526962,Adhapalli,1,1,1,False
v120,21.047435_85.691744,Kampulei,0,4,4,False
v120,21.047558_85.52488,Adhapalli,1,1,1,False
v120,21.047646_85.527402,Adhapalli,1,1,1,False
v120,21.047655_85.526258,Adhapalli,1,1,1,False
v120,21.048412_85.523557,Adhapalli,1,1,1,False
v120,21.048834_85.524919,Adhapalli,1,1,1,False
v120,21.049949_85.690852,Kampulei,0,4,4,False
v120,21.050477_85.686889,Kampulei,0,4,4,False
v120,21.052047_85.690007,Kampulei,0,3,4,True
v120,21.074972_85.389524,Mahabirod,2,2,2,False
v120,21.075714_85.392354,Mahabirod,2,2,2,False
v120,21.076582_85.388847,Mahabirod,2,2,2,False
v120,21.077312_85.39015,Mahabirod,2,2,2,False
v120,21.077442_85.388795,Mahabirod,2,2,2,False
v120,21.077809_85.392112,Mahabirod,2,2,2,False
v120,21.078879_85.387094,Mahabirod,2,2,2,False
v120,21.078934_85.390421,Mahabirod,2,2,2,False
v120,21.079134_85.389512,Mahabirod,2,2,2,False
v120,21.106127_85.565469,Kerijoli,4,3,3,False
v120,21.106491_85.565027,Kerijoli,0,3,4,True
v120,21.107106_85.56567,Kerijoli,4,3,3,False
v120,21.10777_85.564995,Kerijoli,4,3,3,False
v120,21.108009_85.565539,Kerijoli,4,3,3,False
v120,21.108207_85.564337,Kerijoli,4,3,3,False
v120,21.108502_85.564922,Kerijoli,4,3,3,False
v120,21.109137_85.564208,Kerijoli,4,3,3,False
v120,21.109653_85.563835,Kerijoli,4,3,3,False
v120,21.110522_85.56385,Kerijoli,4,3,3,False
v120,21.154502_85.365229,Pangatira,1,1,1,False
v120,21.155752_85.365857,Pangatira,1,1,1,False
v120,21.156085_85.364999,Pangatira,1,1,1,False
v120,21.156_85.367028,Pangatira,1,1,1,False
v120,21.157913_85.365213,Pangatira,5,5,5,False
v120,21.158187_85.36696,Pangatira,5,5,5,False
v120,21.158748_85.364022,Pangatira,1,1,1,False
v120,21.15983_85.365755,Pangatira,1,1,1,False
v120,21.160104_85.363229,Pangatira,1,1,1,False
v120,21.161816_85.365742,Pangatira,5,5,5,False
current,21.018825_85.612578,Balikurma,0,0,0,False
current,21.018991_85.615656,Balikurma,0,0,0,False
current,21.019655_85.619941,Balikurma,0,0,0,False
current,21.019794_85.61085,Balikurma,0,0,0,False
current,21.019849_85.61665,Balikurma,0,0,0,False
current,21.021416_85.610006,Balikurma,0,0,0,False
current,21.02179_85.618937,Balikurma,0,0,0,False
current,21.021861_85.613366,Balikurma,0,0,0,False
current,21.022286_85.61525,Balikurma,0,0,0,False
current,21.023003_85.611504,Balikurma,0,0,0,False
current,21.023941_85.616045,Balikurma,0,0,0,False
current,21.040585_85.690666,Kampulei,0,0,0,False
current,21.041399_85.688028,Kampulei,0,0,0,False
current,21.043315_85.689977,Kampulei,0,0,0,False
current,21.043929_85.684979,Kampulei,0,0,0,False
current,21.044343_85.521868,Adhapalli,1,1,1,False
current,21.044772_85.519605,Adhapalli,1,1,1,False
current,21.045566_85.52362,Adhapalli,5,5,5,False
current,21.046197_85.525567,Adhapalli,5,5,5,False
current,21.046237_85.520861,Adhapalli,1,1,1,False
current,21.046252_85.683699,Kampulei,0,0,0,False
current,21.047075_85.526962,Adhapalli,5,5,5,False
current,21.047435_85.691744,Kampulei,0,0,0,False
current,21.047558_85.52488,Adhapalli,5,5,5,False
current,21.047646_85.527402,Adhapalli,5,5,5,False
current,21.047655_85.526258,Adhapalli,5,5,5,False
current,21.048412_85.523557,Adhapalli,1,1,1,False
current,21.048834_85.524919,Adhapalli,5,5,5,False
current,21.049949_85.690852,Kampulei,0,0,0,False
current,21.050477_85.686889,Kampulei,0,0,0,False
current,21.052047_85.690007,Kampulei,0,0,0,False
current,21.074972_85.389524,Mahabirod,1,1,1,False
current,21.075714_85.392354,Mahabirod,1,1,1,False
current,21.076582_85.388847,Mahabirod,1,1,1,False
current,21.077312_85.39015,Mahabirod,1,1,1,False
current,21.077442_85.388795,Mahabirod,1,1,1,False
current,21.077809_85.392112,Mahabirod,1,1,1,False
current,21.078879_85.387094,Mahabirod,1,1,1,False
current,21.078934_85.390421,Mahabirod,1,1,1,False
current,21.079134_85.389512,Mahabirod,1,1,1,False
current,21.106127_85.565469,Kerijoli,4,4,4,False
current,21.106491_85.565027,Kerijoli,4,4,4,False
current,21.107106_85.56567,Kerijoli,4,4,4,False
current,21.10777_85.564995,Kerijoli,4,4,4,False
current,21.108009_85.565539,Kerijoli,4,4,4,False
current,21.108207_85.564337,Kerijoli,4,4,4,False
current,21.108502_85.564922,Kerijoli,4,4,4,False
current,21.109137_85.564208,Kerijoli,4,4,4,False
current,21.109653_85.563835,Kerijoli,4,4,4,False
current,21.110522_85.56385,Kerijoli,4,4,4,False
current,21.154502_85.365229,Pangatira,5,5,5,False
current,21.155752_85.365857,Pangatira,5,5,5,False
current,21.156085_85.364999,Pangatira,5,5,5,False
current,21.156_85.367028,Pangatira,5,5,5,False
current,21.157913_85.365213,Pangatira,5,5,5,False
current,21.158187_85.36696,Pangatira,2,2,2,False
current,21.158748_85.364022,Pangatira,5,5,5,False
current,21.15983_85.365755,Pangatira,5,5,5,False
current,21.160104_85.363229,Pangatira,5,5,5,False
current,21.161816_85.365742,Pangatira,5,5,5,False
