plot_key,district,habitation,field_type,loreys_h_m,crown_cover_pct,n_trees,n_species,sal_ba_frac
18.55814_82.928984,KORAPUT,CHAMPAKENDA,4,12.848675350827513,33.0,5,3,0.0
18.575806_82.837232,KORAPUT,HANDAPUR,4,5.276425712718289,28.0,8,6,0.0
18.576485_82.834653,KORAPUT,HANDAPUR,4,4.678354368337214,28.0,7,5,0.0
18.576947_82.837561,KORAPUT,HANDAPUR,4,5.865490278697405,33.0,10,8,0.0
18.577371_82.836942,KORAPUT,HANDAPUR,4,4.989821882951655,23.0,6,6,0.0
18.577439_82.833436,KORAPUT,HANDAPUR,0,4.511334734629531,38.0,19,9,0.0
18.577547_82.836866,KORAPUT,HANDAPUR,0,7.759958082656842,28.0,16,9,0.0
18.577639_82.837776,KORAPUT,HANDAPUR,0,6.069422355975924,33.0,17,6,0.0
18.577673_82.838437,KORAPUT,HANDAPUR,4,5.214697529111048,38.0,5,3,0.0
18.577748_82.835758,KORAPUT,HANDAPUR,0,7.230954330762174,23.0,18,7,0.0
18.577832_82.83856,KORAPUT,HANDAPUR,0,4.3921811906816215,23.0,18,8,0.0
18.578127_82.840014,KORAPUT,HANDAPUR,0,4.917462063113924,18.0,14,5,0.0
18.578158_82.833453,KORAPUT,HANDAPUR,0,8.106822705771053,48.0,20,7,0.0
18.57816_82.833364,KORAPUT,HANDAPUR,4,5.72679429872649,23.0,10,6,0.0
18.578309_82.834858,KORAPUT,HANDAPUR,0,9.87677640153211,38.0,17,6,0.0
18.578415_82.837159,KORAPUT,HANDAPUR,4,5.6859709202219255,28.0,5,4,0.0
18.57855_82.839376,KORAPUT,HANDAPUR,4,5.490962228678859,38.0,9,6,0.0
18.578663_82.834354,KORAPUT,HANDAPUR,0,4.539495791174219,18.0,19,10,0.0
18.578716_82.835005,KORAPUT,HANDAPUR,0,4.703702819764872,23.0,18,6,0.0
18.578741_82.834651,KORAPUT,HANDAPUR,4,5.431949559647719,38.0,9,6,0.0
18.579554_82.833869,KORAPUT,HANDAPUR,4,5.234595984571259,23.0,6,5,0.0
18.586698_82.830332,KORAPUT,HATIMUNDA,4,11.420129998030331,43.0,2,2,0.0
18.587339_82.828831,KORAPUT,HATIMUNDA,4,6.852838263058526,43.0,6,5,0.0
18.587424_82.827393,KORAPUT,HATIMUNDA,4,4.481149986438838,78.0,7,6,0.0
18.587441_82.81896,KORAPUT,BILAPUT,3,5.595708156672724,28.0,39,9,0.0
18.588535_82.82654,KORAPUT,HATIMUNDA,4,11.557300678823372,53.0,4,3,0.0
18.58884_82.818969,KORAPUT,BILAPUT,0,4.572623109330754,38.0,18,7,0.0
18.589041_82.818128,KORAPUT,BILAPUT,0,4.755907459310616,43.0,18,10,0.0
18.589244_82.825077,KORAPUT,HATIMUNDA,4,9.4600529512537,68.0,5,5,0.0
18.589309_82.825484,KORAPUT,HATIMUNDA,1,18.1124634108766,33.0,4,4,0.0
18.589582_82.817618,KORAPUT,BILAPUT,0,5.33138416859621,38.0,19,10,0.0
