plot_key,lat,lon,gps_acc_m,alt_m,district,block,habitation,site_polygon,n_trees,loreys_h_m,h_top5_m,h_mean_m,h_max_m,dbh_mean_cm,basal_area_cm2,crown_cover_pct,n_species,dominant_sp,sp_dominance,eth_chm,eth_chm_3x3,eth_chm_std_3x3,eth_sd,eth_sd_3x3,ndvi_amplitude,ndvi_mean
18.55814_82.928984,18.5581,82.929,4.993,881.7831,KORAPUT,POTTANGI,CHAMPAKENDA,,12,12.8487,8.4,4.265,15.0,10.0268,2529.1312,33.0,6,Other,0.3333,20,20.22222137451172,0.41573970964156254,7,6.888888835906982,0.07492508049010418,0.8378095050518318
18.575806_82.837232,18.5758,82.8372,7.7,915.2,KORAPUT,SEMILIGUDA,HANDAPUR,,13,5.2764,5.4,3.9831,6.0,7.6443,864.5328,28.0,10,Unidentified tree Tangiachina,0.1538,11,8.44444465637207,4.645454435637082,5,4.222222328186035,0.1980666193049283,0.47702292587140815
18.576485_82.834653,18.5765,82.8347,7.133,987.6,KORAPUT,SEMILIGUDA,HANDAPUR,,13,4.6784,5.2,3.3177,6.0,6.5866,649.4317,28.0,9,Sunari Cassia fistul,0.1538,12,11.777777671813965,0.41573970964156254,5,5.333333492279053,0.22571885439934977,0.5017597228335444
18.576947_82.837561,18.5769,82.8376,4.99,917.6,KORAPUT,SEMILIGUDA,HANDAPUR,,18,5.8655,6.4,4.1283,7.0,7.6925,1322.0205,33.0,13,Kala Bhalia Anacardium Semecarpus,0.1111,13,13.0,0.0,5,5.0,0.22318171149867438,0.7789447900917089
18.577371_82.836942,18.5774,82.8369,5.124,983.2,KORAPUT,SEMILIGUDA,HANDAPUR,,9,4.9898,5.2,4.2222,6.0,6.7906,437.8352,23.0,8,Sunari Cassia fistula,0.2222,14,14.0,0.0,5,5.111111164093018,0.1905601181096808,0.7863726799778334
18.577439_82.833436,18.5774,82.8334,4.874,910.7036,KORAPUT,SEMILIGUDA,HANDAPUR,,36,4.5113,5.0,3.1261,5.0,5.2963,1060.0515,38.0,14,Charkauli Buchanania lanzan,0.2778,14,14.44444465637207,0.4969039949999476,5,5.222222328186035,0.19069389516473628,0.7652553894793088
18.577547_82.836866,18.5775,82.8369,4.939,945.509,KORAPUT,SEMILIGUDA,HANDAPUR,,34,7.76,8.0,3.7462,8.0,9.5587,6891.3295,28.0,14,Charkauli Buchanania lanzan,0.1765,14,14.0,0.0,5,5.0,0.22418665768265308,0.7733457414704453
18.577639_82.837776,18.5776,82.8378,4.657,917.1311,KORAPUT,SEMILIGUDA,HANDAPUR,,34,6.0694,12.2,4.3103,35.0,9.3621,4627.43,33.0,11,Amba Mangifera indica,0.3235,13,13.333333015441895,0.4714045207910317,5,5.0,0.20924052176713465,0.753277509241599
18.577673_82.838437,18.5777,82.8384,5.0,920.3,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5.2147,5.4,3.89,6.0,6.7482,560.3846,38.0,7,Sindura Bixa orellana,0.2,13,13.0,0.0,5,5.0,0.24078790544347708,0.6566765932042364
18.577748_82.835758,18.5777,82.8358,3.9,921.8342,KORAPUT,SEMILIGUDA,HANDAPUR,,37,7.231,7.6,3.7397,8.0,8.8783,4683.7708,23.0,13,Amba Mangifera indica,0.1892,14,14.222222328186035,0.41573970964156254,6,6.0,0.2111384658005347,0.7479004174613136
18.577832_82.83856,18.5778,82.8386,4.657,911.8712,KORAPUT,SEMILIGUDA,HANDAPUR,,35,4.3922,5.0,2.7754,5.0,5.8842,1383.4543,23.0,13,Pitmari Cipadessa baccifera,0.2,13,13.0,0.0,5,5.0,0.24529036741000235,0.6563110248204936
18.578127_82.840014,18.5781,82.84,4.858,935.3389,KORAPUT,SEMILIGUDA,HANDAPUR,,29,4.9175,5.2,2.7759,6.0,6.6406,2438.4925,18.0,11,Pitmari Cipadessa baccifera,0.1724,12,11.777777671813965,0.41573970964156254,5,5.0,0.2407784547071366,0.6438512374288954
18.578158_82.833453,18.5782,82.8335,4.836,879.5299,KORAPUT,SEMILIGUDA,HANDAPUR,,34,8.1068,9.0,4.1838,9.0,9.1186,4205.6694,48.0,13,Amba Mangifera indica,0.3824,15,14.777777671813965,0.41573970964156254,5,4.777777671813965,0.188986657899745,0.7446272725029947
18.57816_82.833364,18.5782,82.8334,11.214,974.6,KORAPUT,SEMILIGUDA,HANDAPUR,,15,5.7268,6.0,4.2133,8.0,7.4485,943.5501,23.0,8,Jamu Koli Syzygium cumini,0.2,14,14.55555534362793,0.4969039949999476,4,4.55555534362793,0.2302355160356139,0.6469220276029006
18.578309_82.834858,18.5783,82.8349,4.719,931.9496,KORAPUT,SEMILIGUDA,HANDAPUR,,34,9.8768,10.4,4.39,13.0,11.0753,7998.7296,38.0,12,Amba Mangifera indica,0.2059,13,13.333333015441895,0.4714045207910317,6,6.0,0.2156455026975108,0.7421470297707202
