plot_key,lat,lon,gps_acc_m,alt_m,district,block,habitation,site_polygon,n_trees,loreys_h_m,h_top5_m,h_mean_m,h_max_m,dbh_mean_cm,basal_area_cm2,crown_cover_pct,n_species,dominant_sp,sp_dominance,eth_chm,eth_chm_3x3,eth_chm_std_3x3,eth_sd,eth_sd_3x3,ndvi_amplitude,ndvi_mean,meta_chm,meta_chm_3x3,glad_chm,gedi_n_50m,gedi_rh98_50m,vh_iqr,vh_p10,vh_p50,vh_p90,vv_iqr,vv_minus_vh_median,vv_p10,vv_p50,vv_p90,ndvi_seasonal_diff,off_B11,off_B12,off_B4,off_B5,off_B6,off_B7,off_B8,off_B8A,off_nbr,off_ndmi,off_ndre,off_ndvi,on_B11,on_B4,on_B8,on_ndvi,meta_mean_15m,meta_p95_15m,meta_mean_30m,meta_p95_30m
18.55814_82.928984,18.5581,82.929,4.993,881.7831,KORAPUT,POTTANGI,CHAMPAKENDA,,12,12.8487,8.4,4.265,15.0,10.0268,2529.1312,33.0,6,Other,0.3333,20,20.22222137451172,0.4157397096415625,7,6.888888835906982,0.0749250804901041,0.8378095050518318,10,11.0,20,,,0.0,-16.026887893676758,-16.026887893676758,-16.026887893676758,0.0,6.915177345275879,-9.111711502075195,-9.111711502075195,-9.111711502075195,0.1086769625544548,0.1504999995231628,0.0733666643500328,0.0345333330333232,0.1055499985814094,0.2220166623592376,0.2646999955177307,0.263066679239273,0.289083331823349,0.5638561248779297,0.2721850574016571,0.4273183643817901,0.7679211497306824,0.1613000035285949,0.0221999995410442,0.3375999927520752,0.8765981197357178,10.517354681964612,13.0,9.873797913006179,13.000000000000002
18.575806_82.837232,18.5758,82.8372,7.7,915.2,KORAPUT,SEMILIGUDA,HANDAPUR,,13,5.2764,5.4,3.9831,6.0,7.6443,864.5328,28.0,10,Unidentified tree Tangiachina,0.1538,11,8.44444465637207,4.645454435637082,5,4.222222328186035,0.1980666193049283,0.4770229258714081,0,0.0,4,,,0.0,-16.36977767944336,-16.36977767944336,-16.36977767944336,0.0,4.23270320892334,-12.13707447052002,-12.13707447052002,-12.13707447052002,0.3612206280231476,0.3400000035762787,0.2348500043153762,0.1125999987125396,0.1508000046014785,0.1859000027179718,0.2004500031471252,0.2067999988794326,0.2135999947786331,-0.0635118335485458,-0.2435991168022155,0.1565995514392852,0.2949279844760895,0.2685000002384186,0.0582999996840953,0.2808000147342682,0.6561486124992371,0.0,0.0,0.0,0.0
18.576485_82.834653,18.5765,82.8347,7.133,987.6,KORAPUT,SEMILIGUDA,HANDAPUR,,13,4.6784,5.2,3.3177,6.0,6.5866,649.4317,28.0,9,Sunari Cassia fistul,0.1538,12,11.777777671813965,0.4157397096415625,5,5.333333492279053,0.2257188543993497,0.5017597228335444,0,0.0,3,,,0.0,-18.32769012451172,-18.32769012451172,-18.32769012451172,0.0,7.619740962982178,-10.707948684692385,-10.707948684692385,-10.707948684692385,0.3901191353797912,0.2678999900817871,0.1774999946355819,0.0921666696667671,0.1243000030517578,0.1713999956846237,0.1921499967575073,0.1985999941825866,0.2181500047445297,0.0561021007597446,-0.1485530585050583,0.2301021963357925,0.3660438060760498,0.2046000063419342,0.045499999076128,0.3276999890804291,0.7561629414558411,0.0,0.0,0.0,0.0
18.576947_82.837561,18.5769,82.8376,4.99,917.6,KORAPUT,SEMILIGUDA,HANDAPUR,,18,5.8655,6.4,4.1283,7.0,7.6925,1322.0205,33.0,13,Kala Bhalia Anacardium Semecarpus,0.1111,13,13.0,0.0,5,5.0,0.2231817114986743,0.7789447900917089,0,0.0,0,,,0.0,-14.43631362915039,-14.43631362915039,-14.43631362915039,0.0,3.155847787857056,-11.280466079711914,-11.280466079711914,-11.280466079711914,0.323577344417572,0.2383999973535537,0.1462000012397766,0.0612000003457069,0.1123000010848045,0.1608249992132187,0.1829666644334793,0.1975249946117401,0.2171500027179718,0.1493199467658996,-0.0937661305069923,0.2750746309757232,0.5269108414649963,0.1755000054836273,0.0267999991774559,0.3316999971866607,0.8504881262779236,0.0,0.0,0.0,0.0
18.577371_82.836942,18.5774,82.8369,5.124,983.2,KORAPUT,SEMILIGUDA,HANDAPUR,,9,4.9898,5.2,4.2222,6.0,6.7906,437.8352,23.0,8,Sunari Cassia fistula,0.2222,14,14.0,0.0,5,5.111111164093018,0.1905601181096808,0.7863726799778334,0,0.0,5,,,0.0,-15.257874488830566,-15.257874488830566,-15.257874488830566,0.0,6.191279411315918,-9.066595077514648,-9.066595077514648,-9.066595077514648,0.2905466854572296,0.2371499985456466,0.1434500068426132,0.0599999986588954,0.1168999969959259,0.1659000068902969,0.1894000023603439,0.2154666632413864,0.221900001168251,0.2006501108407974,-0.0479066185653209,0.2965600192546844,0.5643755793571472,0.1723500043153762,0.025900000706315,0.3311499953269958,0.8549222946166992,0.0,0.0,0.0,0.0
18.577439_82.833436,18.5774,82.8334,4.874,910.7036,KORAPUT,SEMILIGUDA,HANDAPUR,,36,4.5113,5.0,3.1261,5.0,5.2963,1060.0515,38.0,14,Charkauli Buchanania lanzan,0.2778,14,14.44444465637207,0.4969039949999476,5,5.222222328186035,0.1906938951647362,0.7652553894793088,0,0.0,7,,,0.0,-10.39921760559082,-10.39921760559082,-10.39921760559082,0.0,5.6215009689331055,-4.777716636657715,-4.777716636657715,-4.777716636657715,0.2447069436311721,0.2322500050067901,0.140091672539711,0.0554499998688697,0.1144699975848198,0.1822749972343444,0.2105000019073486,0.229200005531311,0.2347500026226043,0.2412952780723571,-0.0066096000373363,0.3338376879692077,0.6103987097740173,0.1872999966144561,0.0284499991685152,0.3642500042915344,0.8551056981086731,0.0,0.0,0.0,0.0
18.577547_82.836866,18.5775,82.8369,4.939,945.509,KORAPUT,SEMILIGUDA,HANDAPUR,,34,7.76,8.0,3.7462,8.0,9.5587,6891.3295,28.0,14,Charkauli Buchanania lanzan,0.1765,14,14.0,0.0,5,5.0,0.224186657682653,0.7733457414704453,0,0.0,5,,,0.0,-13.825723648071287,-13.825723648071287,-13.825723648071287,0.0,3.777571678161621,-10.048151969909668,-10.048151969909668,-10.048151969909668,0.2793850004673004,0.2320999950170517,0.1412000060081482,0.0560999996960163,0.1117499992251396,0.1616999953985214,0.1835000067949295,0.2124666720628738,0.2142000049352646,0.2015080153942108,-0.0441628545522689,0.3106461763381958,0.5822266340255737,0.1685999929904937,0.0240000002086162,0.3228499889373779,0.8616116642951965,0.0,0.0,0.0,0.0
18.577639_82.837776,18.5776,82.8378,4.657,917.1311,KORAPUT,SEMILIGUDA,HANDAPUR,,34,6.0694,12.2,4.3103,35.0,9.3621,4627.43,33.0,11,Amba Mangifera indica,0.3235,13,13.333333015441896,0.4714045207910317,5,5.0,0.2092405217671346,0.753277509241599,0,0.0,0,,,0.0,-16.623882293701172,-16.623882293701172,-16.623882293701172,0.0,4.964858055114746,-11.65902328491211,-11.65902328491211,-11.65902328491211,0.2557463049888611,0.2355333268642425,0.1428000032901764,0.0554499998688697,0.1094999983906745,0.1637499928474426,0.1856999993324279,0.2093999981880188,0.2160000056028366,0.1890971064567566,-0.0587353892624378,0.3132643401622772,0.5812724232673645,0.1721500009298324,0.026350000873208,0.296999990940094,0.8370187282562256,0.0,0.0,0.0027009350001456368,0.0
18.577673_82.838437,18.5777,82.8384,5.0,920.3,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5.2147,5.4,3.89,6.0,6.7482,560.3846,38.0,7,Sindura Bixa orellana,0.2,13,13.0,0.0,5,5.0,0.240787905443477,0.6566765932042364,0,0.0,0,,,0.0,-15.644953727722168,-15.644953727722168,-15.644953727722168,0.0,4.831237316131592,-10.813716888427734,-10.813716888427734,-10.813716888427734,0.3727168142795563,0.2662000060081482,0.1731999963521957,0.0712999999523162,0.1094999983906745,0.147499993443489,0.1665000021457672,0.177849993109703,0.1972000002861023,0.0132459765300154,-0.1989640742540359,0.237863227725029,0.4276540279388428,0.1992499977350235,0.0322999991476535,0.2912999987602234,0.8003708124160767,0.0,0.0,0.0,0.0
18.577748_82.835758,18.5777,82.8358,3.9,921.8342,KORAPUT,SEMILIGUDA,HANDAPUR,,37,7.231,7.6,3.7397,8.0,8.8783,4683.7708,23.0,13,Amba Mangifera indica,0.1892,14,14.222222328186035,0.4157397096415625,6,6.0,0.2111384658005347,0.7479004174613136,0,0.0,5,,,0.0,-10.415888786315918,-10.415888786315918,-10.415888786315918,0.0,4.463284492492676,-5.952603816986084,-5.952603816986084,-5.952603816986084,0.2749571204185486,0.240349993109703,0.1474000066518783,0.0575250014662742,0.1151833310723304,0.1695999950170517,0.1916999965906143,0.2079750001430511,0.2217333316802978,0.170453742146492,-0.072213239967823,0.2871399521827698,0.5666666626930237,0.1823000013828277,0.0276999995112419,0.3221000134944916,0.8416237831115723,0.0,0.0,0.0,0.0
18.577832_82.83856,18.5778,82.8386,4.657,911.8712,KORAPUT,SEMILIGUDA,HANDAPUR,,35,4.3922,5.0,2.7754,5.0,5.8842,1383.4543,23.0,13,Pitmari Cipadessa baccifera,0.2,13,13.0,0.0,5,5.0,0.2452903674100023,0.6563110248204936,0,0.0,3,,,0.0,-12.315496444702148,-12.315496444702148,-12.315496444702148,0.0,1.797325849533081,-10.518170356750488,-10.518170356750488,-10.518170356750488,0.3563692271709442,0.2694999873638153,0.1777999997138977,0.0671999976038932,0.1102000027894973,0.1458999961614608,0.1658499985933303,0.1835999935865402,0.1955499947071075,0.0160486996173858,-0.1895828694105148,0.249829813838005,0.4641148447990417,0.1976999938488006,0.0280000008642673,0.283950001001358,0.8204840421676636,0.0,0.0,0.0,0.0
18.578127_82.840014,18.5781,82.84,4.858,935.3389,KORAPUT,SEMILIGUDA,HANDAPUR,,29,4.9175,5.2,2.7759,6.0,6.6406,2438.4925,18.0,11,Pitmari Cipadessa baccifera,0.1724,12,11.777777671813965,0.4157397096415625,5,5.0,0.2407784547071366,0.6438512374288954,0,0.0,0,,,0.0,-14.738247871398926,-14.738247871398926,-14.738247871398926,0.0,9.44679069519043,-5.291457176208496,-5.291457176208496,-5.291457176208496,0.3646582961082458,0.2809000015258789,0.1847999989986419,0.0722666680812835,0.1156999990344047,0.1550000011920929,0.1776999980211258,0.1859000027179718,0.2091333270072937,0.0029673590324819,-0.2035132795572281,0.2327586263418197,0.4401549398899078,0.2120999991893768,0.033050000667572,0.3055999875068664,0.8048132061958313,0.0,0.0,0.0,0.0
18.578158_82.833453,18.5782,82.8335,4.836,879.5299,KORAPUT,SEMILIGUDA,HANDAPUR,,34,8.1068,9.0,4.1838,9.0,9.1186,4205.6694,48.0,13,Amba Mangifera indica,0.3824,15,14.777777671813965,0.4157397096415625,5,4.777777671813965,0.188986657899745,0.7446272725029947,3,1.2222222089767456,7,,,0.0,-13.53575038909912,-13.53575038909912,-13.53575038909912,0.0,9.2490816116333,-4.28666877746582,-4.28666877746582,-4.28666877746582,0.2479629665613174,0.2354249954223632,0.1488749980926513,0.0521666668355464,0.1091250032186508,0.1773249953985214,0.2020333260297775,0.1940000057220459,0.2277749925851822,0.1316077262163162,-0.0964662060141563,0.2800000011920929,0.5761678814888,0.1863999962806701,0.0258000008761882,0.2675999999046325,0.8241308927536011,0.954692608586305,4.0,0.30358951947716567,2.0
18.57816_82.833364,18.5782,82.8334,11.214,974.6,KORAPUT,SEMILIGUDA,HANDAPUR,,15,5.7268,6.0,4.2133,8.0,7.4485,943.5501,23.0,8,Jamu Koli Syzygium cumini,0.2,14,14.55555534362793,0.4969039949999476,4,4.55555534362793,0.2302355160356139,0.6469220276029006,0,0.8888888955116272,8,,,0.0,-13.53575038909912,-13.53575038909912,-13.53575038909912,0.0,9.2490816116333,-4.28666877746582,-4.28666877746582,-4.28666877746582,0.355945885181427,0.2694999873638153,0.1760500073432922,0.0790333300828933,0.1238000020384788,0.1738499999046325,0.1959249973297119,0.2040500044822693,0.2245000004768371,0.0736648216843605,-0.1382113844156265,0.244776576757431,0.4416249692440033,0.2082500010728836,0.0350000001490116,0.3107999861240387,0.7975708246231079,0.516403135618161,2.0,0.29717249115037797,2.0
18.578309_82.834858,18.5783,82.8349,4.719,931.9496,KORAPUT,SEMILIGUDA,HANDAPUR,,34,9.8768,10.4,4.39,13.0,11.0753,7998.7296,38.0,12,Amba Mangifera indica,0.2059,13,13.333333015441896,0.4714045207910317,6,6.0,0.2156455026975108,0.7421470297707202,0,0.0,11,,,0.0,-13.530474662780762,-13.530474662780762,-13.530474662780762,0.0,6.112947940826416,-7.4175262451171875,-7.4175262451171875,-7.4175262451171875,0.2940845489501953,0.2263499945402145,0.1384125053882599,0.0639000013470649,0.1133499965071678,0.1831499934196472,0.2095749974250793,0.2138999998569488,0.2379499971866607,0.2142629027366638,-0.028279386460781,0.3072574436664581,0.53995680809021,0.1775999963283538,0.0293000005185604,0.3237999975681305,0.8340413570404053,0.008187028108796509,0.0,0.028893153072264668,0.0
18.578415_82.837159,18.5784,82.8372,4.762,1141.7,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5.686,5.8,3.743,8.0,5.4431,415.9514,28.0,8,Hadjam,0.2,14,13.666666984558104,0.4714045207910317,5,4.888888835906982,0.2324743533197521,0.6850072919233041,0,0.0,4,,,0.0,-11.771434783935549,-11.771434783935549,-11.771434783935549,0.0,2.243381977081299,-9.52805233001709,-9.52805233001709,-9.52805233001709,0.370554506778717,0.2477000057697296,0.1571000069379806,0.068800002336502,0.1094499975442886,0.1451999992132187,0.1644999980926513,0.1755666732788086,0.1915999948978424,0.0555110238492488,-0.1704205423593521,0.2319747358560562,0.4369117319583893,0.1870000064373016,0.0303000006824731,0.2844499945640564,0.8074662685394287,0.0,0.0,0.0,0.0
18.57855_82.839376,18.5785,82.8394,4.933,996.3,KORAPUT,SEMILIGUDA,HANDAPUR,,17,5.491,6.2,3.6359,8.0,6.5909,931.2156,38.0,12,Bija Pterocarpus marsupium,0.1176,12,11.666666984558104,0.4714045207910317,5,5.0,0.2374490342780315,0.6743188124940824,0,0.0,3,,,0.0,-20.27125358581543,-20.27125358581543,-20.27125358581543,0.0,11.25250244140625,-9.018752098083496,-9.018752098083496,-9.018752098083496,0.358547568321228,0.2743250131607055,0.1827999949455261,0.0722000002861023,0.1148499995470047,0.1497000008821487,0.1718000024557113,0.1811333298683166,0.2008000016212463,-0.0045795934274792,-0.2046107351779937,0.2239427864551544,0.4300000071525574,0.2093999981880188,0.0354500003159046,0.2998499870300293,0.7885475754737854,0.0,0.0,0.0,0.0
18.578663_82.834354,18.5787,82.8344,4.509,919.55,KORAPUT,SEMILIGUDA,HANDAPUR,,35,4.5395,5.0,3.0763,5.0,5.0657,935.9106,18.0,16,Pitmari Cipadessa baccifera,0.1714,14,14.0,0.0,5,5.333333492279053,0.2044496194274413,0.7678849873198579,0,0.0,9,,,0.0,-11.003751754760742,-11.003751754760742,-11.003751754760742,0.0,7.082672595977783,-3.921079874038696,-3.921079874038696,-3.921079874038696,0.2785460352897644,0.2392999976873397,0.145699992775917,0.0603500008583068,0.1198333352804184,0.1831333339214325,0.2096000015735626,0.2238000035285949,0.2401999980211258,0.2113667130470276,-0.0334700942039489,0.3025511801242828,0.5752243399620056,0.1817999929189682,0.0271000005304813,0.3435499966144562,0.85377037525177,0.0,0.0,0.0,0.0
18.578716_82.835005,18.5787,82.835,4.754,939.5088,KORAPUT,SEMILIGUDA,HANDAPUR,,34,4.7037,5.4,2.9103,6.0,4.8964,900.2599,23.0,12,Charkauli Buchanania lanzan,0.2353,14,14.0,0.0,5,5.44444465637207,0.2185889856061877,0.7826179145084136,0,0.0,13,,,0.0,-12.318659782409668,-12.318659782409668,-12.318659782409668,0.0,3.892589569091797,-8.426070213317871,-8.426070213317871,-8.426070213317871,0.303288459777832,0.2380000054836273,0.1421499997377395,0.0623333342373371,0.1207500025629997,0.1830500066280365,0.2066999971866607,0.2262666672468185,0.2385749965906143,0.2283193916082382,-0.0252728313207626,0.304067999124527,0.5680295825004578,0.1713500022888183,0.0237000007182359,0.344650000333786,0.8713180422782898,0.0,0.0,0.22101517882089045,0.0
18.578741_82.834651,18.5787,82.8347,6.258,958.8,KORAPUT,SEMILIGUDA,HANDAPUR,,17,5.4319,5.8,3.7147,7.0,6.2164,795.1381,38.0,11,Amba Mangifera indica,0.1765,14,14.0,0.0,6,5.666666507720947,0.2050315054053584,0.7498024613336565,0,0.0,9,,,0.0,-11.52430248260498,-11.52430248260498,-11.52430248260498,0.0,8.931532859802246,-2.592769861221313,-2.592769861221313,-2.592769861221313,0.2943728566169739,0.2463999986648559,0.1506000012159347,0.0638749971985817,0.124449998140335,0.1895499974489212,0.2144500017166137,0.2308499962091446,0.2480500042438507,0.2103814333677292,-0.0325825028121471,0.2994652390480041,0.5665450692176819,0.1815000027418136,0.025000000372529,0.3345000147819519,0.8609179258346558,0.0,0.0,0.0,0.0
18.579554_82.833869,18.5796,82.8339,6.433,949.6,KORAPUT,SEMILIGUDA,HANDAPUR,,13,5.2346,5.2,3.6923,6.0,6.8804,804.6078,23.0,11,Amba Mangifera indica,0.1538,12,12.333333015441896,0.4714045207910317,5,5.0,0.2291827813275254,0.65881760182021,0,0.0,3,,,0.0,-11.647781372070312,-11.647781372070312,-11.647781372070312,0.0,3.034006357192993,-8.613774299621582,-8.613774299621582,-8.613774299621582,0.3412610292434692,0.2773500084877014,0.1795199960470199,0.0747499987483024,0.124049998819828,0.1806749999523162,0.204475000500679,0.2056666612625122,0.2329999953508377,0.0678805112838745,-0.1484075784683227,0.247535765171051,0.4668647944927215,0.2080000042915344,0.0366000011563301,0.3449000120162964,0.8081257939338684,0.0,0.0,0.0,0.0
18.586698_82.830332,18.5867,82.8303,13.718,916.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,5,11.4201,6.6,6.6,12.0,7.4485,404.0148,43.0,4,Amba Mangifera indica,0.4,15,14.777777671813965,0.4157397096415625,6,5.888888835906982,0.1674401301296031,0.8197766972238145,0,0.0,14,,,0.0,-13.694133758544922,-13.694133758544922,-13.694133758544922,0.0,9.617618560791016,-4.0765156745910645,-4.0765156745910645,-4.0765156745910645,0.2361540496349334,0.2021999955177307,0.1130499988794326,0.0461999997496604,0.1030599996447563,0.1924333274364471,0.2244666665792465,0.2391999959945678,0.2517857253551483,0.3581263422966003,0.0838241949677467,0.3977677822113037,0.6762438416481018,0.1589999943971634,0.0176999997347593,0.3864000141620636,0.9123979210853576,0.0,0.0,0.0,0.0
18.587339_82.828831,18.5873,82.8288,7.404,979.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,6.8528,7.0,5.775,11.0,8.7933,632.243,43.0,6,Jamu Koli Syzygium cumini,0.25,19,19.0,0.6666666666666666,6,6.55555534362793,0.0763821162584247,0.8426592889088664,7,4.222222328186035,8,,,0.0,-13.512310981750488,-13.512310981750488,-13.512310981750488,0.0,6.088496685028076,-7.423813819885254,-7.423813819885254,-7.423813819885254,0.1027272418141365,0.168500006198883,0.0864999964833259,0.0366000011563301,0.1084000021219253,0.2338999956846237,0.2694999873638153,0.2994000017642975,0.2948000133037567,0.551697313785553,0.2797606289386749,0.4683668613433838,0.7821428775787354,0.1441999971866607,0.0226000007241964,0.3700000047683716,0.8848701119422913,3.0442985483517115,7.0,2.5061992581812595,8.0
18.587424_82.827393,18.5874,82.8274,4.9,976.7,KORAPUT,SEMILIGUDA,HATIMUNDA,,11,4.4811,5.0,4.3636,5.0,7.0607,586.8043,78.0,8,Amba Mangifera indica,0.2727,17,17.0,0.0,6,6.0,0.0899407544764874,0.8165976303143113,0,2.222222328186035,16,,,0.0,-23.100719451904297,-23.100719451904297,-23.100719451904297,0.0,6.64040470123291,-16.46031379699707,-16.46031379699707,-16.46031379699707,0.1535838693380355,0.1780750006437301,0.0934000015258789,0.041733331978321,0.1045999974012374,0.2121250033378601,0.257099986076355,0.2649999856948852,0.2826499938964844,0.4787946343421936,0.196185752749443,0.4339826703071594,0.7278852462768555,0.1604000031948089,0.0212999992072582,0.3380999863147735,0.8814691305160522,0.7522673643995699,2.0,2.415428903604773,6.999999999999999
18.587441_82.81896,18.5874,82.819,4.941,895.4482,KORAPUT,SEMILIGUDA,BILAPUT,,58,5.5957,6.6,3.8943,7.0,7.0577,3153.1777,28.0,14,Amba Mangifera indica,0.2069,16,15.666666984558104,0.4714045207910317,7,6.777777671813965,0.1515721037215568,0.7138720333916381,0,0.0,5,,,0.0,-11.502561569213867,-11.502561569213867,-11.502561569213867,0.0,1.5720487833023071,-9.930512428283691,-9.930512428283691,-9.930512428283691,0.2469723671674728,0.2330666631460189,0.1431999951601028,0.052700001746416,0.1053249984979629,0.1721625030040741,0.1957499980926513,0.2159000039100647,0.2212000042200088,0.2024505734443664,-0.0382359474897384,0.344229131937027,0.607594907283783,0.1718000024557113,0.0241999998688697,0.3086000084877014,0.854567289352417,0.0,0.0,0.0,0.0
18.588535_82.82654,18.5885,82.8265,5.0,990.1,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,11.5573,9.2,6.1111,20.0,6.4016,597.8655,53.0,7,Amba Mangifera indica,0.3333,16,16.33333396911621,0.4714045207910317,7,6.666666507720947,0.0838859906996508,0.8470207686567863,7,6.777777671813965,19,,,0.0,-19.911178588867188,-19.911178588867188,-19.911178588867188,0.0,12.136568069458008,-7.774610042572021,-7.774610042572021,-7.774610042572021,0.1020733267068862,0.1651799976825714,0.0816499963402748,0.03617500141263,0.1050999984145164,0.2273250073194503,0.2669000029563904,0.2840999960899353,0.2920500040054321,0.553520143032074,0.2646901607513428,0.4599177837371826,0.7741003632545471,0.1518000066280365,0.0210999995470047,0.3197000026702881,0.876173734664917,6.4154596867826985,8.0,6.1859918634930855,9.0
18.58884_82.818969,18.5888,82.819,4.213,921.7756,KORAPUT,SEMILIGUDA,BILAPUT,,36,4.5726,5.0,2.825,5.0,5.2433,1152.2022,38.0,14,Charkauli Buchanania lanzan,0.2778,15,15.55555534362793,0.4969039949999476,6,6.0,0.2213902379226851,0.7020175820014072,0,0.0,6,,,0.0,-9.397793769836426,-9.397793769836426,-9.397793769836426,0.0,3.2475476264953613,-6.150245666503906,-6.150245666503906,-6.150245666503906,0.3179548978805542,0.2211000025272369,0.1293999999761581,0.0553000010550022,0.1044500023126602,0.1645500063896179,0.1862500011920929,0.1854999959468841,0.2167000025510788,0.1781518012285232,-0.0875553339719772,0.2795309424400329,0.5406976938247681,0.1638000011444091,0.0214000009000301,0.2813999950885772,0.8586525917053223,0.058171389435836,0.0,0.1257163508699468,1.0
18.589041_82.818128,18.589,82.8181,4.966,920.377,KORAPUT,SEMILIGUDA,BILAPUT,,37,4.7559,5.2,2.7938,6.0,5.9102,1618.367,43.0,13,Pitmari Cipadessa baccifera,0.1892,16,15.333333015441896,0.816496580927726,5,5.666666507720947,0.2210808049132694,0.7372357286845049,0,0.0,6,,,0.0,-15.462075233459473,-15.462075233459473,-15.462075233459473,0.0,7.603068828582764,-7.859006881713867,-7.859006881713867,-7.859006881713867,0.3349327743053436,0.2476000040769577,0.1525333374738693,0.062899999320507,0.1096000000834465,0.1618999987840652,0.1857499927282333,0.1897999942302703,0.212349995970726,0.1088607609272003,-0.132144495844841,0.267869085073471,0.5021765232086182,0.1843000054359436,0.0284000001847744,0.3203000128269195,0.8371092677116394,0.0,0.0,0.0,0.0
18.589244_82.825077,18.5892,82.8251,4.928,810.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,9.4601,7.4,5.625,14.0,7.1222,510.9669,68.0,7,Jamu Koli Syzygium cumini,0.25,18,18.11111068725586,0.3142696805273187,8,7.44444465637207,0.0753523415987231,0.8303004946527252,3,2.8888888359069824,19,0.0,16.105714797973633,0.0,-15.50074863433838,-15.50074863433838,-15.50074863433838,0.0,6.026467800140381,-9.474281311035156,-9.474281311035156,-9.474281311035156,0.0923553928732872,0.1822749972343444,0.0892666652798652,0.0416083335876464,0.124449998140335,0.2795666754245758,0.3253499865531921,0.3407999873161316,0.3473666608333587,0.5848705768585205,0.3030636012554168,0.4650188088417053,0.782387912273407,0.1710000038146972,0.0243999995291233,0.365200012922287,0.8747433423995972,2.021627348268795,3.0,2.705317406405463,4.0
18.589309_82.825484,18.5893,82.8255,4.933,952.9,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,18.1125,11.4,8.7143,22.0,7.3211,516.5374,33.0,6,Jamu Koli Syzygium cumini,0.2857,16,16.33333396911621,0.4714045207910317,7,7.333333492279053,0.0816573718241869,0.8352816800714113,2,1.8888888359069824,18,,,0.0,-14.777090072631836,-14.777090072631836,-14.777090072631836,0.0,5.910273551940918,-8.866816520690918,-8.866816520690918,-8.866816520690918,0.0971068739891052,0.1841000020503997,0.0905999988317489,0.0402333326637744,0.121299996972084,0.2590000033378601,0.3005000054836273,0.3113999962806701,0.3273999989032745,0.5492537021636963,0.2569122016429901,0.4393344223499298,0.7711631655693054,0.1687999963760376,0.024100000038743,0.3418000042438507,0.8682700395584106,1.6695507932685878,3.0,1.499051266059953,2.9999999999999982
18.589582_82.817618,18.5896,82.8176,4.832,944.913,KORAPUT,SEMILIGUDA,BILAPUT,,36,5.3314,6.0,3.3153,6.0,6.7641,2027.7136,38.0,14,Amba Mangifera indica,0.1667,17,16.66666603088379,0.4714045207910317,5,5.44444465637207,0.1683090564187925,0.7030941640003566,0,0.0,13,,,0.0,-7.855163097381592,-7.855163097381592,-7.855163097381592,0.0,1.931363701820373,-5.923799514770508,-5.923799514770508,-5.923799514770508,0.2479937523603439,0.2321999967098236,0.1322750002145767,0.0584666654467582,0.1183499991893768,0.2014749944210052,0.2287250012159347,0.225950002670288,0.2579500079154968,0.2614976763725281,-0.0136418202891945,0.3125181496143341,0.588866114616394,0.1659999936819076,0.0265999995172023,0.2994999885559082,0.8368598818778992,0.0,0.0,0.003376325207643999,0.0
18.589732_82.827324,18.5897,82.8273,3.911,863.8452,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10.7857,23.2,16.45,25.0,13.7828,5373.5483,13.0,12,Gau Koli Diospyros ferrea,0.15,16,15.777777671813965,0.4157397096415625,6,5.888888835906982,0.1692070041876276,0.742783384856063,1,1.0,6,,,0.0,-13.792241096496582,-13.792241096496582,-13.792241096496582,0.0,0.93532532453537,-12.856916427612305,-12.856916427612305,-12.856916427612305,0.2512630820274353,0.2294500023126602,0.1430750042200088,0.0511500015854835,0.1023999974131584,0.1615000069141388,0.18469999730587,0.2125499993562698,0.2132250070571899,0.1953602880239486,-0.0382352955639362,0.34973806142807,0.6120591759681702,0.1912000030279159,0.0266999993473291,0.363999992609024,0.8633222579956055,1.1316589260107446,9.0,0.31978291437060263,2.0
