cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
3.0,1,20.741885_84.698598,424833394,53
3.0,1,20.742247_84.697628,-452890786,48
3.0,1,20.742487_84.696332,-1253122281,48
0.0,1,20.743825_84.696419,-1571532686,50
0.0,1,20.744313_84.694294,-1974359093,47
0.0,1,20.744556_84.693554,-1974359093,47
0.0,1,20.745076_84.695402,-850664678,47
0.0,1,20.745582_84.692273,-2065536670,41
0.0,1,20.746348_84.694433,-1257355781,44
0.0,1,20.747267_84.691992,-1598020826,41
0.0,1,20.759342_84.70982,-168426188,65
3.0,1,20.760064_84.721146,255511288,90
3.0,1,20.760492_84.717751,221006715,84
4.0,1,20.761327_84.711584,-1488574003,71
1.0,1,20.76148_84.72302,2145576920,95
4.0,1,20.761498_84.715991,765677743,83
4.0,1,20.76178_84.706629,1683340397,60
1.0,1,20.763036_84.72282,-34770942,94
,0,20.76408_84.715482,914421550,82
1.0,1,20.764457_84.718917,982188609,88
3.0,1,20.802758_84.651615,522236935,30
3.0,1,20.803186_84.650445,522236935,30
3.0,1,20.803305_84.650996,-1072209062,30
3.0,1,20.803378_84.649662,-1072209062,30
3.0,1,20.80382_84.649267,-1072209062,30
3.0,1,20.804067_84.651992,1684347532,30
3.0,1,20.805056_84.651723,1814384989,30
4.0,1,20.805103_84.650732,655013978,29
4.0,1,20.805368_84.649812,1470053128,29
4.0,1,20.806103_84.651004,655013978,29
2.0,1,20.825695_84.645693,-1980118766,17
2.0,1,20.825723_84.645635,-218961509,17
2.0,1,20.825966_84.644815,-218961509,17
2.0,1,20.826051_84.646594,-192444943,17
2.0,1,20.827024_84.643543,-217077064,5
2.0,1,20.827087_84.646448,-192444943,17
1.0,1,20.827346_84.642134,-477602563,4
1.0,1,20.828018_84.64283,28085575,4
,0,20.828198_84.64423,402017495,10
