cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
0.0,1,20.926499_85.652478,862489125,116
,0,20.926894_85.66691,130666452,158
1.0,1,20.927937_85.652632,-2021360861,119
2.0,1,20.931564_85.663294,-360193923,149
2.0,1,20.931593_85.663369,-360193923,149
2.0,1,20.934691_85.665477,1130605898,155
1.0,1,20.935038_85.668127,-611159125,165
0.0,1,20.967839_85.697164,207990852,212
,0,20.968462_85.697621,-831469223,207
0.0,1,20.96877_85.697427,2039928016,207
,0,20.969023_85.695805,87039796,204
0.0,1,20.970158_85.69672,-525040283,207
1.0,1,20.970671_85.695629,5377806,204
0.0,1,20.971334_85.696502,-1947811180,207
1.0,1,20.972437_85.695593,-1305906169,204
5.0,1,21.018825_85.612578,-1082844675,94
5.0,1,21.018991_85.615656,-1929934777,95
5.0,1,21.019655_85.619941,-1068512053,104
5.0,1,21.019794_85.61085,-201229794,92
5.0,1,21.019849_85.61665,1889581074,95
5.0,1,21.021416_85.610006,428141680,88
5.0,1,21.02179_85.618937,-579100389,98
5.0,1,21.021861_85.613366,-523459345,92
5.0,1,21.022286_85.61525,1721036564,97
5.0,1,21.023003_85.611504,830587719,89
5.0,1,21.023941_85.616045,1674818561,96
5.0,1,21.040585_85.690666,-1308347743,178
5.0,1,21.041399_85.688028,-894418919,176
5.0,1,21.043315_85.689977,-301352147,187
5.0,1,21.043929_85.684979,-232518237,170
0.0,1,21.044343_85.521868,1592069178,49
0.0,1,21.044772_85.519605,-975511067,49
5.0,1,21.045566_85.52362,1348484708,52
0.0,1,21.046197_85.525567,352253333,59
5.0,1,21.046237_85.520861,-350090382,48
5.0,1,21.046252_85.683699,-724041960,168
0.0,1,21.047075_85.526962,592287979,57
5.0,1,21.047435_85.691744,608294303,191
0.0,1,21.047558_85.52488,-449090485,56
0.0,1,21.047646_85.527402,-746496917,60
0.0,1,21.047655_85.526258,592287979,57
0.0,1,21.048412_85.523557,-632013355,56
0.0,1,21.048834_85.524919,-449090485,56
5.0,1,21.049949_85.690852,-48242468,186
5.0,1,21.050477_85.686889,-746976793,173
5.0,1,21.052047_85.690007,-57743766,181
0.0,1,21.074972_85.389524,1311350267,39
0.0,1,21.075714_85.392354,-1681246971,39
5.0,1,21.076582_85.388847,-1203698094,35
5.0,1,21.077312_85.39015,-1529992087,35
5.0,1,21.077442_85.388795,1752101118,35
2.0,1,21.077809_85.392112,1830123278,40
0.0,1,21.078879_85.387094,1897576030,32
2.0,1,21.078934_85.390421,-1304863795,41
2.0,1,21.079134_85.389512,-1304863795,41
0.0,1,21.106127_85.565469,1409160926,71
0.0,1,21.106491_85.565027,-2053441099,71
0.0,1,21.107106_85.56567,1261161685,72
0.0,1,21.10777_85.564995,1261161685,72
0.0,1,21.108009_85.565539,1261161685,72
0.0,1,21.108207_85.564337,848177866,72
0.0,1,21.108502_85.564922,1261161685,72
0.0,1,21.109137_85.564208,2077856663,72
0.0,1,21.109653_85.563835,2077856663,72
0.0,1,21.110522_85.56385,537146654,71
1.0,1,21.154502_85.365229,1619189648,14
1.0,1,21.155752_85.365857,1508667507,14
1.0,1,21.156085_85.364999,-196250896,14
1.0,1,21.156_85.367028,1958263879,21
1.0,1,21.157913_85.365213,1419347712,14
1.0,1,21.158187_85.36696,1751908922,25
1.0,1,21.158748_85.364022,237952336,10
1.0,1,21.15983_85.365755,-190578391,11
1.0,1,21.160104_85.363229,255964763,10
1.0,1,21.161816_85.365742,-947743902,11
