cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
,0,18.575806_82.837232,-286301483,128
3.0,1,18.576485_82.834653,-997902848,131
3.0,1,18.576947_82.837561,1027734003,131
0.0,1,18.577371_82.836942,-2097435271,138
3.0,1,18.577439_82.833436,-180618227,127
0.0,1,18.577547_82.836866,-2097435271,138
3.0,1,18.577639_82.837776,1401095691,131
0.0,1,18.577673_82.838437,1053202079,138
3.0,1,18.577748_82.835758,1194123050,131
0.0,1,18.577832_82.83856,1053202079,138
0.0,1,18.578127_82.840014,235720273,138
3.0,1,18.578158_82.833453,2079761871,127
2.0,1,18.57816_82.833364,-24294248,126
3.0,1,18.578309_82.834858,-1248180880,127
3.0,1,18.578415_82.837159,-568204438,131
0.0,1,18.57855_82.839376,155364838,138
3.0,1,18.578663_82.834354,-1717557423,127
3.0,1,18.578716_82.835005,-1717557423,127
3.0,1,18.578741_82.834651,-1717557423,127
2.0,1,18.579554_82.833869,-24294248,126
3.0,1,18.586698_82.830332,428315404,112
5.0,1,18.587339_82.828831,-188962679,109
4.0,1,18.587424_82.827393,1118551461,95
3.0,1,18.587441_82.81896,644825156,55
4.0,1,18.588535_82.82654,1738562487,95
3.0,1,18.58884_82.818969,1304574973,55
3.0,1,18.589041_82.818128,436500848,55
4.0,1,18.589244_82.825077,-2048213465,87
4.0,1,18.589309_82.825484,-948381832,95
3.0,1,18.589582_82.817618,-2017976854,49
2.0,1,18.589732_82.827324,-633747697,99
4.0,1,18.590069_82.822561,-1045427822,82
3.0,1,18.590157_82.829946,-1663954063,112
3.0,1,18.590763_82.817554,-1269921784,55
2.0,1,18.590785_82.824487,506965724,99
3.0,1,18.590802_82.814215,-1355059378,33
,0,18.590809_82.826211,732191527,99
,0,18.590818_82.825501,506965724,99
5.0,1,18.590826_82.820535,1558192650,75
4.0,1,18.590907_82.822339,-630010447,82
5.0,1,18.591008_82.821617,-146462296,68
2.0,1,18.591102_82.824347,506965724,99
3.0,1,18.591333_82.817649,544960941,55
5.0,1,18.591473_82.819057,-1488734772,75
3.0,1,18.591548_82.816364,-130264498,48
3.0,1,18.591818_82.815917,-130264498,48
3.0,1,18.592142_82.814825,-18471425,33
3.0,1,18.59228_82.828686,2010942304,113
5.0,1,18.592398_82.819353,589394608,68
2.0,1,18.593711_82.815814,1971957868,43
3.0,1,18.594241_82.828147,-1079574939,108
3.0,1,18.594449_82.811828,865108241,14
2.0,1,18.594997_82.814868,197419928,30
3.0,1,18.595014_82.827976,1818620625,108
3.0,1,18.595431_82.826381,-241247126,101
3.0,1,18.595601_82.827027,-296765056,101
3.0,1,18.595819_82.826677,-241247126,101
3.0,1,18.596046_82.825038,-214710877,91
3.0,1,18.596091_82.825235,-214710877,91
3.0,1,18.596228_82.824514,-214710877,91
3.0,1,18.596347_82.826101,-241247126,101
,0,18.596368_82.824083,-158273022,74
2.0,1,18.596488_82.814043,-891679942,30
3.0,1,18.596536_82.825133,562429590,91
,0,18.596726_82.822897,-264467039,74
3.0,1,18.596943_82.824312,562429590,91
3.0,1,18.59697_82.823822,-214710877,91
3.0,1,18.597175_82.821483,-581906471,56
1.0,1,18.59731_82.823396,1463361377,74
3.0,1,18.59736_82.822354,-400453422,91
3.0,1,18.597398_82.824837,562429590,91
3.0,1,18.597412_82.823824,562429590,91
3.0,1,18.59743_82.823241,-400453422,91
3.0,1,18.597682_82.819763,1747968655,56
3.0,1,18.598169_82.819834,1747968655,56
3.0,1,18.598548_82.821378,1788568139,77
3.0,1,18.598995_82.819166,2089826923,64
3.0,1,18.602419_82.818844,758759152,59
,0,18.604711_82.818115,1088348930,53
3.0,1,18.614284_82.839737,308428083,150
3.0,1,18.614533_82.839458,308428083,150
3.0,1,18.615426_82.839528,-550413847,145
3.0,1,18.615788_82.855314,1719442724,167
3.0,1,18.615818_82.85548,-429666382,167
3.0,1,18.615834_82.855468,-429666382,167
3.0,1,18.616194_82.856297,-429666382,167
4.0,1,18.616558_82.841079,-793092562,153
3.0,1,18.616631_82.839986,-1049902956,145
0.0,1,18.616679_82.843587,-1308989879,157
3.0,1,18.616705_82.856253,1933858601,167
3.0,1,18.616708_82.839955,-1049902956,145
0.0,1,18.616768_82.842999,-1308989879,157
4.0,1,18.616998_82.84222,-531174252,157
4.0,1,18.617277_82.841366,-1772084777,153
,0,18.624624_82.933586,221844565,370
5.0,1,18.637046_82.971078,86076202,588
5.0,1,18.637227_82.968882,1431906982,574
5.0,1,18.637924_82.967885,-1953494026,571
5.0,1,18.6389_82.971745,-924595070,587
5.0,1,18.639738_82.971846,1656464677,599
5.0,1,18.639916_82.968455,1077378603,587
5.0,1,18.640693_82.972283,1235853683,606
5.0,1,18.641832_82.972375,-850080752,600
2.0,1,18.641893_82.969522,-403164273,575
5.0,1,18.644529_82.974055,-550326329,615
3.0,1,18.652406_82.811505,-2077069125,11
3.0,1,18.652437_82.811106,1393331388,11
3.0,1,18.65244_82.811768,-2077069125,11
3.0,1,18.652644_82.812857,-1722456988,11
3.0,1,18.652647_82.812143,1845897933,11
3.0,1,18.652919_82.810902,1393331388,11
3.0,1,18.653207_82.811814,-2077069125,11
3.0,1,18.653365_82.811206,-1234213832,11
3.0,1,18.653369_82.81268,-293704174,11
5.0,1,18.676799_82.963237,-1084782570,541
5.0,1,18.677433_82.964683,-1721492518,541
4.0,1,18.678063_82.960975,-1438188254,531
4.0,1,18.678762_82.958297,1762374208,507
4.0,1,18.678843_82.963663,-1287281884,531
4.0,1,18.679113_82.96907,-1315654072,581
5.0,1,18.679282_82.97123,1071635044,591
5.0,1,18.679754_82.975404,-1565917673,621
4.0,1,18.680077_82.962886,325533700,531
5.0,1,18.680447_82.973233,-1511411191,607
5.0,1,18.681063_82.964409,-1907274838,547
5.0,1,18.681071_82.975365,-1443733274,614
5.0,1,18.681102_82.975437,-1443733274,614
4.0,1,18.681326_82.957064,208571137,513
4.0,1,18.681329_82.960893,-1277823941,519
5.0,1,18.681538_82.974712,-928825212,614
4.0,1,18.681742_82.961581,-1750020931,519
4.0,1,18.681765_82.962915,-1336616353,530
4.0,1,18.681858_82.963077,-1336616353,530
4.0,1,18.681878_82.962774,-1336616353,530
5.0,1,18.682446_82.965478,-1020036493,547
5.0,1,18.68257_82.965576,-1020036493,547
5.0,1,18.682588_82.96899,-63476950,570
4.0,1,18.68293_82.957086,-1609394776,491
5.0,1,18.682982_82.96547,-1020036493,547
4.0,1,18.683549_82.961884,-707041383,530
4.0,1,18.683884_82.961298,-2092587560,519
4.0,1,18.684793_82.959743,-1296607795,511
,0,18.686431_82.9618,1539509052,526
4.0,1,18.686566_82.958633,-797744300,499
,0,18.69107_82.868956,1300887895,175
