cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
0,1,21.018825_85.612578,-1082844675,107
0,1,21.018991_85.615656,-1929934777,107
0,1,21.019655_85.619941,-1068512053,116
0,1,21.019794_85.61085,-201229794,100
0,1,21.019849_85.61665,1889581074,107
0,1,21.021416_85.610006,428141680,97
0,1,21.02179_85.618937,-579100389,114
0,1,21.021861_85.613366,-523459345,102
0,1,21.022286_85.61525,1721036564,102
0,1,21.023003_85.611504,830587719,98
0,1,21.023941_85.616045,1674818561,108
0,1,21.040585_85.690666,-1308347743,157
0,1,21.041399_85.688028,-894418919,150
0,1,21.043315_85.689977,-301352147,155
0,1,21.043929_85.684979,-232518237,141
1,1,21.044343_85.521868,1592069178,54
1,1,21.044772_85.519605,-975511067,54
1,1,21.045566_85.52362,1348484708,61
1,1,21.046197_85.525567,352253333,68
0,1,21.046237_85.520861,-350090382,59
0,1,21.046252_85.683699,-724041960,139
1,1,21.047075_85.526962,592287979,66
0,1,21.047435_85.691744,608294303,160
1,1,21.047558_85.52488,-449090485,63
1,1,21.047646_85.527402,-746496917,70
1,1,21.047655_85.526258,592287979,66
1,1,21.048412_85.523557,-632013355,63
1,1,21.048834_85.524919,-449090485,63
0,1,21.049949_85.690852,-434642749,158
0,1,21.050477_85.686889,-746976793,145
0,1,21.052047_85.690007,-57743766,152
0,1,21.074972_85.389524,1311350267,37
1,1,21.075714_85.392354,-1681246971,43
0,1,21.076582_85.388847,-1203698094,30
2,1,21.077312_85.39015,-1339918813,42
0,1,21.077442_85.388795,1752101118,30
2,1,21.077809_85.392112,1830123278,42
0,1,21.078879_85.387094,1897576030,30
2,1,21.078934_85.390421,-1304863795,45
2,1,21.079134_85.389512,-1304863795,45
1,1,21.106127_85.565469,1409160926,81
1,1,21.106491_85.565027,-2053441099,81
1,1,21.107106_85.56567,1261161685,83
1,1,21.10777_85.564995,1261161685,83
1,1,21.108009_85.565539,1261161685,83
1,1,21.108207_85.564337,848177866,83
1,1,21.108502_85.564922,1261161685,83
1,1,21.109137_85.564208,2077856663,83
1,1,21.109653_85.563835,2077856663,83
1,1,21.110522_85.56385,537146654,81
5,1,21.154502_85.365229,1619189648,12
5,1,21.155752_85.365857,1508667507,12
5,1,21.156085_85.364999,-196250896,12
5,1,21.156_85.367028,1958263879,17
5,1,21.157913_85.365213,1419347712,10
5,1,21.158187_85.36696,1751908922,20
5,1,21.158748_85.364022,237952336,8
5,1,21.15983_85.365755,-190578391,9
5,1,21.160104_85.363229,255964763,8
5,1,21.161816_85.365742,-947743902,9
