cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
0.0,1,20.741885_84.698598,-452890786,43
0.0,1,20.742247_84.697628,-452890786,43
0.0,1,20.742487_84.696332,1763103128,43
0.0,1,20.743825_84.696419,-1571532686,46
0.0,1,20.744313_84.694294,922831415,39
0.0,1,20.744556_84.693554,922831415,39
0.0,1,20.745076_84.695402,424143383,39
0.0,1,20.745582_84.692273,-2065536670,33
0.0,1,20.746348_84.694433,-377730823,40
0.0,1,20.747267_84.691992,1713515860,33
4.0,1,20.759342_84.70982,1059167367,58
4.0,1,20.760064_84.721146,255511288,82
4.0,1,20.760492_84.717751,221006715,76
4.0,1,20.761327_84.711584,1069016353,59
4.0,1,20.76148_84.72302,2145576920,86
4.0,1,20.761498_84.715991,2126335325,79
4.0,1,20.76178_84.706629,666625242,54
4.0,1,20.763036_84.72282,-34770942,86
,0,20.76408_84.715482,914421550,73
3.0,1,20.764457_84.718917,-30625205,80
5.0,1,20.802758_84.651615,522236935,21
5.0,1,20.803186_84.650445,522236935,21
5.0,1,20.803305_84.650996,522236935,21
5.0,1,20.803378_84.649662,-1072209062,21
5.0,1,20.80382_84.649267,1026037984,21
5.0,1,20.804067_84.651992,948514562,21
5.0,1,20.805056_84.651723,1814384989,23
5.0,1,20.805103_84.650732,-1010473866,23
5.0,1,20.805368_84.649812,1470053128,23
5.0,1,20.806103_84.651004,1470053128,23
1.0,1,20.825695_84.645693,-218961509,7
1.0,1,20.825723_84.645635,-218961509,7
1.0,1,20.825966_84.644815,-218961509,7
5.0,1,20.826051_84.646594,-670979505,12
1.0,1,20.827024_84.643543,-543621168,7
5.0,1,20.827087_84.646448,-670979505,12
1.0,1,20.827346_84.642134,-477602563,7
1.0,1,20.828018_84.64283,28085575,7
,0,20.828198_84.64423,-1281773780,7
