cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
3.0,1,20.926499_85.652478,862489125,102
,0,20.926894_85.66691,130666452,148
3.0,1,20.927937_85.652632,-2021360861,107
4.0,1,20.931564_85.663294,-360193923,137
4.0,1,20.931593_85.663369,-360193923,137
4.0,1,20.934691_85.665477,88276650,152
4.0,1,20.935038_85.668127,1025681205,155
3.0,1,20.967839_85.697164,-1396881994,208
,0,20.968462_85.697621,-831469223,208
3.0,1,20.96877_85.697427,2039928016,205
,0,20.969023_85.695805,87039796,201
3.0,1,20.970158_85.69672,-525040283,204
3.0,1,20.970671_85.695629,5377806,201
3.0,1,20.971334_85.696502,-1947811180,204
3.0,1,20.972437_85.695593,-1305906169,201
4.0,1,21.018825_85.612578,1605618064,79
4.0,1,21.018991_85.615656,-1929934777,81
4.0,1,21.019655_85.619941,-1068512053,85
4.0,1,21.019794_85.61085,1622904122,72
4.0,1,21.019849_85.61665,-1929934777,81
4.0,1,21.021416_85.610006,328450992,72
4.0,1,21.02179_85.618937,-579100389,86
4.0,1,21.021861_85.613366,1805639014,82
4.0,1,21.022286_85.61525,1805639014,82
4.0,1,21.023003_85.611504,830587719,76
4.0,1,21.023941_85.616045,1674818561,83
0.0,1,21.040585_85.690666,-1491535524,181
5.0,1,21.041399_85.688028,-895958586,174
0.0,1,21.043315_85.689977,934456368,182
5.0,1,21.043929_85.684979,-709269403,165
0.0,1,21.044343_85.521868,-1918552978,40
0.0,1,21.044772_85.519605,-975511067,38
0.0,1,21.045566_85.52362,1348484708,40
0.0,1,21.046197_85.525567,1865689255,47
0.0,1,21.046237_85.520861,-350090382,38
5.0,1,21.046252_85.683699,2111428476,162
0.0,1,21.047075_85.526962,-746496917,48
0.0,1,21.047435_85.691744,608294303,184
0.0,1,21.047558_85.52488,472971926,43
0.0,1,21.047646_85.527402,-746496917,48
0.0,1,21.047655_85.526258,-1440002866,46
0.0,1,21.048412_85.523557,83044070,43
0.0,1,21.048834_85.524919,-449090485,44
0.0,1,21.049949_85.690852,-48242468,180
5.0,1,21.050477_85.686889,-746976793,168
0.0,1,21.052047_85.690007,1938741781,180
5.0,1,21.074972_85.389524,1311350267,30
5.0,1,21.075714_85.392354,-1995782009,30
5.0,1,21.076582_85.388847,-1203698094,30
5.0,1,21.077312_85.39015,-1339918813,31
5.0,1,21.077442_85.388795,791188523,31
5.0,1,21.077809_85.392112,1830123278,32
5.0,1,21.078879_85.387094,-604656095,26
5.0,1,21.078934_85.390421,-2095918987,29
5.0,1,21.079134_85.389512,1707442917,26
0.0,1,21.106127_85.565469,-1675978062,60
0.0,1,21.106491_85.565027,1261161685,59
0.0,1,21.107106_85.56567,1409160926,59
0.0,1,21.10777_85.564995,1261161685,59
0.0,1,21.108009_85.565539,1261161685,59
0.0,1,21.108207_85.564337,848177866,59
0.0,1,21.108502_85.564922,1261161685,59
0.0,1,21.109137_85.564208,1261161685,59
0.0,1,21.109653_85.563835,344653695,59
0.0,1,21.110522_85.56385,344653695,59
2.0,1,21.154502_85.365229,1508667507,12
2.0,1,21.155752_85.365857,1508667507,12
2.0,1,21.156085_85.364999,706484637,10
2.0,1,21.156_85.367028,1684641443,17
2.0,1,21.157913_85.365213,1074846281,10
2.0,1,21.158187_85.36696,1997311893,19
5.0,1,21.158748_85.364022,1419347712,6
2.0,1,21.15983_85.365755,-190578391,11
2.0,1,21.160104_85.363229,237952336,7
2.0,1,21.161816_85.365742,1854448254,11
