cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
,0,18.575806_82.837232,1822558146,113
2.0,1,18.576485_82.834653,577150279,113
5.0,1,18.576947_82.837561,1194123050,116
5.0,1,18.577371_82.836942,1202059537,116
5.0,1,18.577439_82.833436,-180618227,111
5.0,1,18.577547_82.836866,-2097435271,116
5.0,1,18.577639_82.837776,1401095691,116
2.0,1,18.577673_82.838437,1053202079,125
5.0,1,18.577748_82.835758,1194123050,116
2.0,1,18.577832_82.83856,1053202079,125
2.0,1,18.578127_82.840014,235720273,125
5.0,1,18.578158_82.833453,-130109843,111
5.0,1,18.57816_82.833364,-130109843,111
5.0,1,18.578309_82.834858,-1717557423,111
5.0,1,18.578415_82.837159,1401095691,116
2.0,1,18.57855_82.839376,1053202079,125
5.0,1,18.578663_82.834354,-1717557423,111
5.0,1,18.578716_82.835005,-1717557423,111
5.0,1,18.578741_82.834651,-1717557423,111
3.0,1,18.579554_82.833869,-933575316,114
0.0,1,18.586698_82.830332,125227429,100
4.0,1,18.587339_82.828831,-188962679,97
4.0,1,18.587424_82.827393,-1029507948,81
5.0,1,18.587441_82.81896,644825156,45
4.0,1,18.588535_82.82654,-1029507948,81
5.0,1,18.58884_82.818969,436500848,50
5.0,1,18.589041_82.818128,1304574973,50
4.0,1,18.589244_82.825077,-948381832,81
4.0,1,18.589309_82.825484,-948381832,81
0.0,1,18.589582_82.817618,863899244,41
3.0,1,18.589732_82.827324,862571048,101
4.0,1,18.590069_82.822561,-1045427822,71
5.0,1,18.590157_82.829946,-1663954063,103
0.0,1,18.590763_82.817554,544960941,41
4.0,1,18.590785_82.824487,-784926952,79
2.0,1,18.590802_82.814215,-1355059378,24
,0,18.590809_82.826211,732191527,90
,0,18.590818_82.825501,732191527,90
4.0,1,18.590826_82.820535,820933763,62
4.0,1,18.590907_82.822339,2062861871,62
4.0,1,18.591008_82.821617,-146462296,62
4.0,1,18.591102_82.824347,-784926952,79
0.0,1,18.591333_82.817649,544960941,41
4.0,1,18.591473_82.819057,-1488734772,62
5.0,1,18.591548_82.816364,-130264498,31
1.0,1,18.591818_82.815917,550767159,38
5.0,1,18.592142_82.814825,-1248118502,31
5.0,1,18.59228_82.828686,2010942304,94
4.0,1,18.592398_82.819353,-151455472,49
4.0,1,18.593711_82.815814,1971957868,42
0.0,1,18.594241_82.828147,-1079574939,93
5.0,1,18.594449_82.811828,865108241,14
1.0,1,18.594997_82.814868,197419928,26
0.0,1,18.595014_82.827976,1818620625,93
2.0,1,18.595431_82.826381,-241247126,73
2.0,1,18.595601_82.827027,-296765056,85
5.0,1,18.595819_82.826677,-1238958232,88
2.0,1,18.596046_82.825038,-214710877,73
5.0,1,18.596091_82.825235,-879907467,88
2.0,1,18.596228_82.824514,-158273022,64
5.0,1,18.596347_82.826101,-879907467,88
,0,18.596368_82.824083,-214710877,73
3.0,1,18.596488_82.814043,165375628,16
5.0,1,18.596536_82.825133,-879907467,88
,0,18.596726_82.822897,-264467039,64
5.0,1,18.596943_82.824312,562429590,76
2.0,1,18.59697_82.823822,-1134701065,73
5.0,1,18.597175_82.821483,-581906471,59
2.0,1,18.59731_82.823396,1463361377,73
2.0,1,18.59736_82.822354,1463361377,73
5.0,1,18.597398_82.824837,-879907467,88
2.0,1,18.597412_82.823824,-1134701065,73
2.0,1,18.59743_82.823241,1463361377,73
5.0,1,18.597682_82.819763,1747968655,55
5.0,1,18.598169_82.819834,1747968655,55
5.0,1,18.598548_82.821378,3054041,59
5.0,1,18.598995_82.819166,1326138603,46
0.0,1,18.602419_82.818844,758759152,51
,0,18.604711_82.818115,1088348930,43
5.0,1,18.614284_82.839737,1376161540,131
5.0,1,18.614533_82.839458,-1087945358,127
5.0,1,18.615426_82.839528,-550413847,127
3.0,1,18.615788_82.855314,1719442724,146
3.0,1,18.615818_82.85548,-429666382,146
3.0,1,18.615834_82.855468,-429666382,146
3.0,1,18.616194_82.856297,-429666382,146
5.0,1,18.616558_82.841079,832111214,136
4.0,1,18.616631_82.839986,-793092562,128
2.0,1,18.616679_82.843587,-1308989879,138
3.0,1,18.616705_82.856253,1167697158,148
5.0,1,18.616708_82.839955,-1049902956,123
5.0,1,18.616768_82.842999,-531174252,136
5.0,1,18.616998_82.84222,-1230740388,136
5.0,1,18.617277_82.841366,832111214,136
,0,18.624624_82.933586,221844565,318
0.0,1,18.637046_82.971078,86076202,535
0.0,1,18.637227_82.968882,1431906982,534
0.0,1,18.637924_82.967885,-1953494026,519
0.0,1,18.6389_82.971745,-924595070,536
0.0,1,18.639738_82.971846,1656464677,551
0.0,1,18.639916_82.968455,649836389,521
0.0,1,18.640693_82.972283,1235853683,551
0.0,1,18.641832_82.972375,2060762855,544
0.0,1,18.641893_82.969522,-403164273,527
4.0,1,18.644529_82.974055,977677059,561
5.0,1,18.652406_82.811505,1393331388,9
5.0,1,18.652437_82.811106,1393331388,9
5.0,1,18.65244_82.811768,1845897933,9
5.0,1,18.652644_82.812857,-293704174,20
5.0,1,18.652647_82.812143,-2077069125,9
5.0,1,18.652919_82.810902,1393331388,9
5.0,1,18.653207_82.811814,-2077069125,9
5.0,1,18.653365_82.811206,1393331388,9
5.0,1,18.653369_82.81268,-293704174,20
4.0,1,18.676799_82.963237,1483451080,494
4.0,1,18.677433_82.964683,-165636754,502
4.0,1,18.678063_82.960975,2028241291,475
4.0,1,18.678762_82.958297,-1268999070,459
4.0,1,18.678843_82.963663,970498419,494
4.0,1,18.679113_82.96907,-1315654072,526
4.0,1,18.679282_82.97123,1071635044,545
4.0,1,18.679754_82.975404,1721497167,560
4.0,1,18.680077_82.962886,970498419,494
4.0,1,18.680447_82.973233,-1592382788,552
4.0,1,18.681063_82.964409,-1383303789,492
4.0,1,18.681071_82.975365,1721497167,560
4.0,1,18.681102_82.975437,1721497167,560
4.0,1,18.681326_82.957064,208571137,459
4.0,1,18.681329_82.960893,-1277823941,475
4.0,1,18.681538_82.974712,-1443733274,560
4.0,1,18.681742_82.961581,-1750020931,492
4.0,1,18.681765_82.962915,-951356822,471
4.0,1,18.681858_82.963077,-951356822,471
4.0,1,18.681878_82.962774,-951356822,471
4.0,1,18.682446_82.965478,-1880029873,492
4.0,1,18.68257_82.965576,-1020036493,492
3.0,1,18.682588_82.96899,-613837261,524
4.0,1,18.68293_82.957086,-1609394776,446
4.0,1,18.682982_82.96547,-1880029873,492
4.0,1,18.683549_82.961884,-2092587560,476
4.0,1,18.683884_82.961298,-2092587560,476
4.0,1,18.684793_82.959743,-1296607795,471
,0,18.686431_82.9618,914728281,477
4.0,1,18.686566_82.958633,-861430302,456
,0,18.69107_82.868956,1867319398,158
