cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
0,1,21.018825_85.612578,1605618064,102
0,1,21.018991_85.615656,-1929934777,108
0,1,21.019655_85.619941,-1068512053,120
0,1,21.019794_85.61085,1622904122,97
0,1,21.019849_85.61665,-1929934777,108
0,1,21.021416_85.610006,328450992,94
0,1,21.02179_85.618937,-579100389,118
0,1,21.021861_85.613366,1805639014,110
0,1,21.022286_85.61525,1805639014,110
0,1,21.023003_85.611504,830587719,100
0,1,21.023941_85.616045,1674818561,114
0,1,21.040585_85.690666,-1491535524,160
0,1,21.041399_85.688028,-895958586,151
0,1,21.043315_85.689977,934456368,163
0,1,21.043929_85.684979,-709269403,141
1,1,21.044343_85.521868,-1918552978,57
1,1,21.044772_85.519605,-975511067,57
5,1,21.045566_85.52362,1348484708,60
5,1,21.046197_85.525567,1865689255,65
1,1,21.046237_85.520861,-350090382,59
0,1,21.046252_85.683699,2111428476,142
5,1,21.047075_85.526962,-746496917,68
0,1,21.047435_85.691744,608294303,165
5,1,21.047558_85.52488,472971926,65
5,1,21.047646_85.527402,-746496917,68
5,1,21.047655_85.526258,-1440002866,64
1,1,21.048412_85.523557,397636900,62
5,1,21.048834_85.524919,-449090485,63
0,1,21.049949_85.690852,-48242468,161
0,1,21.050477_85.686889,-746976793,146
0,1,21.052047_85.690007,-1736166196,161
1,1,21.074972_85.389524,1866212014,38
1,1,21.075714_85.392354,-1995782009,38
1,1,21.076582_85.388847,-1203698094,40
1,1,21.077312_85.39015,-1339918813,40
1,1,21.077442_85.388795,791188523,40
1,1,21.077809_85.392112,1830123278,43
1,1,21.078879_85.387094,-2112487917,30
1,1,21.078934_85.390421,-2095918987,36
1,1,21.079134_85.389512,1707442917,29
4,1,21.106127_85.565469,-1675978062,86
4,1,21.106491_85.565027,1261161685,85
4,1,21.107106_85.56567,1409160926,85
4,1,21.10777_85.564995,1261161685,85
4,1,21.108009_85.565539,1261161685,85
4,1,21.108207_85.564337,848177866,85
4,1,21.108502_85.564922,1261161685,85
4,1,21.109137_85.564208,1261161685,85
4,1,21.109653_85.563835,1261161685,85
4,1,21.110522_85.56385,1261161685,85
5,1,21.154502_85.365229,1508667507,13
5,1,21.155752_85.365857,1508667507,13
5,1,21.156085_85.364999,1508667507,13
5,1,21.156_85.367028,1684641443,19
5,1,21.157913_85.365213,-2077641867,20
2,1,21.158187_85.36696,1997311893,25
5,1,21.158748_85.364022,1419347712,13
5,1,21.15983_85.365755,-190578391,12
5,1,21.160104_85.363229,-1187851586,8
5,1,21.161816_85.365742,1854448254,12
