cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
0.0,1,20.741885_84.698598,-1549299622,100
0.0,1,20.742247_84.697628,551499648,100
0.0,1,20.742487_84.696332,1704143262,87
0.0,1,20.743825_84.696419,2131066762,97
0.0,1,20.744313_84.694294,-434276170,82
0.0,1,20.744556_84.693554,-672174814,78
0.0,1,20.745076_84.695402,-115303652,83
0.0,1,20.745582_84.692273,449889969,72
0.0,1,20.746348_84.694433,228262653,86
0.0,1,20.747267_84.691992,-1792556774,69
0.0,1,20.759342_84.70982,1370912733,128
3.0,1,20.760064_84.721146,792077695,182
3.0,1,20.760492_84.717751,1795531542,165
5.0,1,20.761327_84.711584,-58471452,133
5.0,1,20.76148_84.72302,726123180,192
5.0,1,20.761498_84.715991,-1216677497,167
5.0,1,20.76178_84.706629,379935697,116
3.0,1,20.763036_84.72282,-228211292,191
,0,20.76408_84.715482,356352953,152
3.0,1,20.764457_84.718917,-1730204953,175
5.0,1,20.802758_84.651615,-1070479864,47
5.0,1,20.803186_84.650445,497253978,47
5.0,1,20.803305_84.650996,-1070479864,47
5.0,1,20.803378_84.649662,-554994240,44
5.0,1,20.80382_84.649267,833058192,44
5.0,1,20.804067_84.651992,-1456574579,54
5.0,1,20.805056_84.651723,-1052889306,56
5.0,1,20.805103_84.650732,196497365,46
5.0,1,20.805368_84.649812,-702685265,48
5.0,1,20.806103_84.651004,1207998857,46
4.0,1,20.825695_84.645693,29032413,20
4.0,1,20.825723_84.645635,29032413,20
4.0,1,20.825966_84.644815,1528596017,20
4.0,1,20.826051_84.646594,1927412230,30
1.0,1,20.827024_84.643543,990105188,8
4.0,1,20.827087_84.646448,401368986,26
4.0,1,20.827346_84.642134,1890143181,10
4.0,1,20.828018_84.64283,28085575,10
,0,20.828198_84.64423,571050076,10
