cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
4.0,1,20.926499_85.652478,-1682745018,236
,0,20.926894_85.66691,-1770203072,316
4.0,1,20.927937_85.652632,1564373758,242
4.0,1,20.931564_85.663294,1250360483,294
4.0,1,20.931593_85.663369,1250360483,294
4.0,1,20.934691_85.665477,674906794,313
4.0,1,20.935038_85.668127,-616233218,338
4.0,1,20.967839_85.697164,41292793,449
,0,20.968462_85.697621,-451021392,449
4.0,1,20.96877_85.697427,-2140876354,450
,0,20.969023_85.695805,2051287793,442
4.0,1,20.970158_85.69672,1728809795,447
4.0,1,20.970671_85.695629,1308700749,444
4.0,1,20.971334_85.696502,-89851000,447
4.0,1,20.972437_85.695593,-258146279,441
3.0,1,21.018825_85.612578,-876377263,177
3.0,1,21.018991_85.615656,-58047339,199
3.0,1,21.019655_85.619941,1120538878,222
3.0,1,21.019794_85.61085,-705799014,170
3.0,1,21.019849_85.61665,-1301813966,204
3.0,1,21.021416_85.610006,704204893,173
3.0,1,21.02179_85.618937,1065294824,215
3.0,1,21.021861_85.613366,2051282329,192
3.0,1,21.022286_85.61525,-492067278,207
3.0,1,21.023003_85.611504,-636722847,176
3.0,1,21.023941_85.616045,373264006,208
1.0,1,21.040585_85.690666,-183524747,407
5.0,1,21.041399_85.688028,-1294339126,386
2.0,1,21.043315_85.689977,2140419367,395
5.0,1,21.043929_85.684979,-1419332591,367
1.0,1,21.044343_85.521868,-602118557,97
1.0,1,21.044772_85.519605,-1188665897,93
1.0,1,21.045566_85.52362,-737409778,102
1.0,1,21.046197_85.525567,-206403310,116
1.0,1,21.046237_85.520861,1114222101,92
5.0,1,21.046252_85.683699,-1830585765,358
1.0,1,21.047075_85.526962,1338733888,119
2.0,1,21.047435_85.691744,1260236645,414
1.0,1,21.047558_85.52488,2026281647,115
1.0,1,21.047646_85.527402,69220607,125
1.0,1,21.047655_85.526258,1811962514,120
1.0,1,21.048412_85.523557,1205339263,107
1.0,1,21.048834_85.524919,-573669619,113
2.0,1,21.049949_85.690852,180124112,405
5.0,1,21.050477_85.686889,-317228429,363
2.0,1,21.052047_85.690007,-647017183,399
5.0,1,21.074972_85.389524,-707328341,62
5.0,1,21.075714_85.392354,1553378209,75
5.0,1,21.076582_85.388847,1866471034,59
5.0,1,21.077312_85.39015,-428700153,71
5.0,1,21.077442_85.388795,-192976436,58
5.0,1,21.077809_85.392112,576096629,80
5.0,1,21.078879_85.387094,2101322326,52
5.0,1,21.078934_85.390421,1612415660,64
5.0,1,21.079134_85.389512,-1225564013,65
1.0,1,21.106127_85.565469,1545859948,151
1.0,1,21.106491_85.565027,-590524323,151
1.0,1,21.107106_85.56567,159962814,149
1.0,1,21.10777_85.564995,1748362071,149
1.0,1,21.108009_85.565539,-1180146132,149
1.0,1,21.108207_85.564337,-1324580155,146
1.0,1,21.108502_85.564922,369831529,146
1.0,1,21.109137_85.564208,1077811284,146
1.0,1,21.109653_85.563835,529253128,140
2.0,1,21.110522_85.56385,-2010122160,142
2.0,1,21.154502_85.365229,847060564,24
2.0,1,21.155752_85.365857,-196250896,19
2.0,1,21.156085_85.364999,-746812811,20
2.0,1,21.156_85.367028,816858291,31
2.0,1,21.157913_85.365213,-1789416403,22
2.0,1,21.158187_85.36696,-1050389365,34
2.0,1,21.158748_85.364022,127548378,16
2.0,1,21.15983_85.365755,-1185879640,17
2.0,1,21.160104_85.363229,1774670537,5
2.0,1,21.161816_85.365742,392362189,23
