cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
,0,18.575806_82.837232,515164078,235
1.0,1,18.576485_82.834653,898861773,222
1.0,1,18.576947_82.837561,-1295705327,240
1.0,1,18.577371_82.836942,923345304,232
1.0,1,18.577439_82.833436,1519423964,220
1.0,1,18.577547_82.836866,1321189060,232
1.0,1,18.577639_82.837776,923345304,232
1.0,1,18.577673_82.838437,-1295705327,240
1.0,1,18.577748_82.835758,-41161782,232
1.0,1,18.577832_82.83856,-1295705327,240
0.0,1,18.578127_82.840014,343470872,256
1.0,1,18.578158_82.833453,-1103715730,219
1.0,1,18.57816_82.833364,-1103715730,219
5.0,1,18.578309_82.834858,1472960741,225
1.0,1,18.578415_82.837159,2070763712,240
0.0,1,18.57855_82.839376,1949445677,256
5.0,1,18.578663_82.834354,1472960741,225
1.0,1,18.578716_82.835005,175810572,229
5.0,1,18.578741_82.834651,1472960741,225
1.0,1,18.579554_82.833869,2119865976,218
2.0,1,18.586698_82.830332,-14877386,203
3.0,1,18.587339_82.828831,587706269,190
4.0,1,18.587424_82.827393,1184514546,174
1.0,1,18.587441_82.81896,1230023628,94
4.0,1,18.588535_82.82654,957818897,158
1.0,1,18.58884_82.818969,-499987359,100
1.0,1,18.589041_82.818128,-499987359,100
4.0,1,18.589244_82.825077,-1204424128,161
4.0,1,18.589309_82.825484,-1695656650,161
5.0,1,18.589582_82.817618,-1310533586,77
2.0,1,18.589732_82.827324,-1557660177,183
4.0,1,18.590069_82.822561,2122797404,128
2.0,1,18.590157_82.829946,1346144763,183
5.0,1,18.590763_82.817554,1732040305,77
4.0,1,18.590785_82.824487,-744819570,166
1.0,1,18.590802_82.814215,1411835979,38
,0,18.590809_82.826211,732191527,171
,0,18.590818_82.825501,732191527,171
3.0,1,18.590826_82.820535,468863208,122
4.0,1,18.590907_82.822339,2122797404,128
3.0,1,18.591008_82.821617,-64722011,122
4.0,1,18.591102_82.824347,-1289592151,150
5.0,1,18.591333_82.817649,-2029800470,77
4.0,1,18.591473_82.819057,-829986129,101
1.0,1,18.591548_82.816364,1139776390,64
1.0,1,18.591818_82.815917,1329559466,55
1.0,1,18.592142_82.814825,315223305,55
1.0,1,18.59228_82.828686,1163480168,191
4.0,1,18.592398_82.819353,-754399585,93
4.0,1,18.593711_82.815814,-2134992560,52
5.0,1,18.594241_82.828147,349146753,184
5.0,1,18.594449_82.811828,183063102,17
4.0,1,18.594997_82.814868,1275560890,48
5.0,1,18.595014_82.827976,76980330,181
1.0,1,18.595431_82.826381,-689241775,169
1.0,1,18.595601_82.827027,-651724862,167
1.0,1,18.595819_82.826677,-651724862,167
1.0,1,18.596046_82.825038,-1049153432,149
1.0,1,18.596091_82.825235,-1049153432,149
0.0,1,18.596228_82.824514,-1481676685,140
1.0,1,18.596347_82.826101,-241247126,167
,0,18.596368_82.824083,-1525591920,140
4.0,1,18.596488_82.814043,-1147530924,30
1.0,1,18.596536_82.825133,-491522930,162
,0,18.596726_82.822897,-814667831,140
1.0,1,18.596943_82.824312,-420427907,149
1.0,1,18.59697_82.823822,992111672,149
1.0,1,18.597175_82.821483,1274975925,117
1.0,1,18.59731_82.823396,-1794463913,149
1.0,1,18.59736_82.822354,172788332,149
1.0,1,18.597398_82.824837,-2097381611,162
1.0,1,18.597412_82.823824,-215115358,149
1.0,1,18.59743_82.823241,-1794463913,149
1.0,1,18.597682_82.819763,2078727103,111
1.0,1,18.598169_82.819834,772221672,111
1.0,1,18.598548_82.821378,-462115259,130
5.0,1,18.598995_82.819166,1845562515,97
1.0,1,18.602419_82.818844,-264068891,87
,0,18.604711_82.818115,1141196633,82
1.0,1,18.614284_82.839737,481755197,260
1.0,1,18.614533_82.839458,1105554846,260
1.0,1,18.615426_82.839528,78756928,252
1.0,1,18.615788_82.855314,505113236,294
1.0,1,18.615818_82.85548,505113236,294
1.0,1,18.615834_82.855468,505113236,294
1.0,1,18.616194_82.856297,220301963,294
1.0,1,18.616558_82.841079,-1030683926,262
1.0,1,18.616631_82.839986,1739985589,262
4.0,1,18.616679_82.843587,-447129479,279
1.0,1,18.616705_82.856253,1294985055,297
1.0,1,18.616708_82.839955,1739985589,262
1.0,1,18.616768_82.842999,820032597,272
1.0,1,18.616998_82.84222,-327387948,273
1.0,1,18.617277_82.841366,1829471948,272
,0,18.624624_82.933586,-1553653457,604
3.0,1,18.637046_82.971078,2129765542,1037
3.0,1,18.637227_82.968882,863598047,1031
3.0,1,18.637924_82.967885,1068809818,1018
5.0,1,18.6389_82.971745,-254885868,1055
5.0,1,18.639738_82.971846,-440498090,1068
5.0,1,18.639916_82.968455,-1345670189,1023
5.0,1,18.640693_82.972283,1240301300,1065
5.0,1,18.641832_82.972375,374203633,1083
2.0,1,18.641893_82.969522,-1839822162,1015
3.0,1,18.644529_82.974055,-1543495673,1093
1.0,1,18.652406_82.811505,1215649893,13
1.0,1,18.652437_82.811106,1215649893,13
1.0,1,18.65244_82.811768,182730381,13
