cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
4.0,1,20.741885_84.698598,-452890786,49
4.0,1,20.742247_84.697628,-452890786,49
4.0,1,20.742487_84.696332,1763103128,45
4.0,1,20.743825_84.696419,1830861069,46
4.0,1,20.744313_84.694294,922831415,40
4.0,1,20.744556_84.693554,922831415,40
4.0,1,20.745076_84.695402,424143383,42
3.0,1,20.745582_84.692273,-2065536670,35
4.0,1,20.746348_84.694433,922831415,40
3.0,1,20.747267_84.691992,-1598020826,35
3.0,1,20.759342_84.70982,-1903736962,67
3.0,1,20.760064_84.721146,255511288,90
3.0,1,20.760492_84.717751,221006715,84
3.0,1,20.761327_84.711584,-75646054,73
3.0,1,20.76148_84.72302,-1602558903,93
3.0,1,20.761498_84.715991,2126335325,79
3.0,1,20.76178_84.706629,1683340397,56
3.0,1,20.763036_84.72282,-34770942,94
,0,20.76408_84.715482,914421550,77
3.0,1,20.764457_84.718917,-30625205,87
3.0,1,20.802758_84.651615,522236935,28
3.0,1,20.803186_84.650445,522236935,28
3.0,1,20.803305_84.650996,522236935,28
3.0,1,20.803378_84.649662,-1072209062,28
3.0,1,20.80382_84.649267,1026037984,24
3.0,1,20.804067_84.651992,948514562,28
3.0,1,20.805056_84.651723,1814384989,24
3.0,1,20.805103_84.650732,-1010473866,24
3.0,1,20.805368_84.649812,1470053128,24
3.0,1,20.806103_84.651004,1470053128,24
1.0,1,20.825695_84.645693,-218961509,11
1.0,1,20.825723_84.645635,-218961509,11
1.0,1,20.825966_84.644815,-218961509,11
1.0,1,20.826051_84.646594,-670979505,11
5.0,1,20.827024_84.643543,-543621168,7
1.0,1,20.827087_84.646448,-670979505,11
5.0,1,20.827346_84.642134,-477602563,7
5.0,1,20.828018_84.64283,28085575,7
,0,20.828198_84.64423,-1281773780,7
