cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
3.0,1,20.926499_85.652478,862489125,110
,0,20.926894_85.66691,1001595008,159
3.0,1,20.927937_85.652632,-2021360861,112
4.0,1,20.931564_85.663294,-360193923,147
4.0,1,20.931593_85.663369,-360193923,147
4.0,1,20.934691_85.665477,88276650,156
4.0,1,20.935038_85.668127,1025681205,165
4.0,1,20.967839_85.697164,-931135704,218
,0,20.968462_85.697621,-831469223,218
4.0,1,20.96877_85.697427,2039928016,215
,0,20.969023_85.695805,87039796,211
4.0,1,20.970158_85.69672,-525040283,215
4.0,1,20.970671_85.695629,5377806,211
4.0,1,20.971334_85.696502,-1947811180,215
4.0,1,20.972437_85.695593,-1305906169,211
4.0,1,21.018825_85.612578,-1444053871,86
4.0,1,21.018991_85.615656,687705089,86
4.0,1,21.019655_85.619941,-1931509566,91
4.0,1,21.019794_85.61085,1622904122,78
4.0,1,21.019849_85.61665,1889581074,86
4.0,1,21.021416_85.610006,1287939224,79
4.0,1,21.02179_85.618937,837886127,91
4.0,1,21.021861_85.613366,-523459345,82
4.0,1,21.022286_85.61525,-1317999601,89
4.0,1,21.023003_85.611504,830587719,79
4.0,1,21.023941_85.616045,-818976028,88
4.0,1,21.040585_85.690666,1215419113,190
4.0,1,21.041399_85.688028,-894418919,190
4.0,1,21.043315_85.689977,-301352147,192
4.0,1,21.043929_85.684979,-65431213,177
2.0,1,21.044343_85.521868,-1918552978,40
2.0,1,21.044772_85.519605,-975511067,40
2.0,1,21.045566_85.52362,1348484708,47
2.0,1,21.046197_85.525567,1865689255,48
2.0,1,21.046237_85.520861,-350090382,43
4.0,1,21.046252_85.683699,2111428476,174
2.0,1,21.047075_85.526962,-746496917,53
4.0,1,21.047435_85.691744,580030630,195
2.0,1,21.047558_85.52488,472971926,52
2.0,1,21.047646_85.527402,-746496917,53
2.0,1,21.047655_85.526258,-1440002866,52
2.0,1,21.048412_85.523557,83044070,44
2.0,1,21.048834_85.524919,-449090485,49
2.0,1,21.049949_85.690852,-434642749,189
0.0,1,21.050477_85.686889,-746976793,185
2.0,1,21.052047_85.690007,1466728202,193
0.0,1,21.074972_85.389524,1311350267,31
0.0,1,21.075714_85.392354,-1993467260,34
0.0,1,21.076582_85.388847,-1203698094,31
0.0,1,21.077312_85.39015,-1339918813,31
0.0,1,21.077442_85.388795,-1339918813,31
0.0,1,21.077809_85.392112,1830123278,35
0.0,1,21.078879_85.387094,-2112487917,28
0.0,1,21.078934_85.390421,-1961765233,32
0.0,1,21.079134_85.389512,1707442917,29
2.0,1,21.106127_85.565469,-1675978062,65
2.0,1,21.106491_85.565027,1409160926,62
2.0,1,21.107106_85.56567,1409160926,62
2.0,1,21.10777_85.564995,1261161685,62
2.0,1,21.108009_85.565539,1261161685,62
2.0,1,21.108207_85.564337,848177866,62
2.0,1,21.108502_85.564922,1261161685,62
2.0,1,21.109137_85.564208,2077856663,62
2.0,1,21.109653_85.563835,2077856663,62
2.0,1,21.110522_85.56385,344653695,62
1.0,1,21.154502_85.365229,1619189648,14
1.0,1,21.155752_85.365857,1684641443,14
1.0,1,21.156085_85.364999,-2053513331,11
1.0,1,21.156_85.367028,1684641443,14
1.0,1,21.157913_85.365213,-2077641867,13
1.0,1,21.158187_85.36696,-1673232192,13
1.0,1,21.158748_85.364022,1419347712,11
1.0,1,21.15983_85.365755,-190578391,12
1.0,1,21.160104_85.363229,237952336,8
1.0,1,21.161816_85.365742,1854448254,12
