cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
,0,18.575806_82.837232,-1358200430,130
5.0,1,18.576485_82.834653,577150279,125
5.0,1,18.576947_82.837561,1194123050,125
5.0,1,18.577371_82.836942,1202059537,125
5.0,1,18.577439_82.833436,-997902848,123
5.0,1,18.577547_82.836866,1202059537,125
1.0,1,18.577639_82.837776,1401095691,134
2.0,1,18.577673_82.838437,1053202079,135
5.0,1,18.577748_82.835758,1194123050,125
2.0,1,18.577832_82.83856,1053202079,135
2.0,1,18.578127_82.840014,1562050531,135
5.0,1,18.578158_82.833453,-130109843,120
5.0,1,18.57816_82.833364,-130109843,120
5.0,1,18.578309_82.834858,-1717557423,123
1.0,1,18.578415_82.837159,-568204438,134
2.0,1,18.57855_82.839376,1053202079,135
5.0,1,18.578663_82.834354,-1717557423,123
5.0,1,18.578716_82.835005,-1717557423,123
5.0,1,18.578741_82.834651,-1717557423,123
5.0,1,18.579554_82.833869,-933575316,121
4.0,1,18.586698_82.830332,125227429,107
3.0,1,18.587339_82.828831,-188962679,101
3.0,1,18.587424_82.827393,-1029507948,90
5.0,1,18.587441_82.81896,644825156,47
3.0,1,18.588535_82.82654,132533023,90
5.0,1,18.58884_82.818969,436500848,49
5.0,1,18.589041_82.818128,436500848,49
3.0,1,18.589244_82.825077,-948381832,84
3.0,1,18.589309_82.825484,-948381832,84
5.0,1,18.589582_82.817618,863899244,34
0.0,1,18.589732_82.827324,862571048,106
3.0,1,18.590069_82.822561,2062861871,75
0.0,1,18.590157_82.829946,1029578872,106
5.0,1,18.590763_82.817554,-2017976854,49
3.0,1,18.590785_82.824487,-784926952,82
5.0,1,18.590802_82.814215,-1355059378,18
,0,18.590809_82.826211,732191527,97
,0,18.590818_82.825501,732191527,97
3.0,1,18.590826_82.820535,820933763,64
3.0,1,18.590907_82.822339,2062861871,75
3.0,1,18.591008_82.821617,-146462296,64
1.0,1,18.591102_82.824347,1188311369,72
5.0,1,18.591333_82.817649,326689915,49
3.0,1,18.591473_82.819057,-1772469002,51
5.0,1,18.591548_82.816364,-130264498,34
1.0,1,18.591818_82.815917,1971957868,37
5.0,1,18.592142_82.814825,1049155410,34
5.0,1,18.59228_82.828686,2010942304,104
3.0,1,18.592398_82.819353,589394608,64
1.0,1,18.593711_82.815814,-1578629765,37
4.0,1,18.594241_82.828147,-1079574939,102
4.0,1,18.594449_82.811828,865108241,14
1.0,1,18.594997_82.814868,197419928,23
4.0,1,18.595014_82.827976,1818620625,102
5.0,1,18.595431_82.826381,-241247126,93
5.0,1,18.595601_82.827027,-296765056,93
5.0,1,18.595819_82.826677,-1238958232,88
5.0,1,18.596046_82.825038,-879907467,89
5.0,1,18.596091_82.825235,-879907467,89
2.0,1,18.596228_82.824514,-158273022,66
5.0,1,18.596347_82.826101,-879907467,89
,0,18.596368_82.824083,-214710877,88
1.0,1,18.596488_82.814043,165375628,20
5.0,1,18.596536_82.825133,-879907467,89
,0,18.596726_82.822897,-264467039,66
5.0,1,18.596943_82.824312,562429590,88
5.0,1,18.59697_82.823822,-1134701065,88
2.0,1,18.597175_82.821483,1463361377,66
2.0,1,18.59731_82.823396,1463361377,66
2.0,1,18.59736_82.822354,1463361377,66
5.0,1,18.597398_82.824837,562429590,88
5.0,1,18.597412_82.823824,-1134701065,88
2.0,1,18.59743_82.823241,1463361377,66
5.0,1,18.597682_82.819763,1747968655,56
5.0,1,18.598169_82.819834,1747968655,56
4.0,1,18.598548_82.821378,3054041,59
5.0,1,18.598995_82.819166,1326138603,55
4.0,1,18.602419_82.818844,758759152,50
,0,18.604711_82.818115,1088348930,45
5.0,1,18.614284_82.839737,-1217075376,133
5.0,1,18.614533_82.839458,-1382330783,133
5.0,1,18.615426_82.839528,-550413847,139
0.0,1,18.615788_82.855314,1719442724,160
0.0,1,18.615818_82.85548,-429666382,160
0.0,1,18.615834_82.855468,-429666382,160
0.0,1,18.616194_82.856297,-429666382,160
5.0,1,18.616558_82.841079,832111214,142
5.0,1,18.616631_82.839986,-793092562,142
5.0,1,18.616679_82.843587,-1308989879,148
0.0,1,18.616705_82.856253,-2045171997,162
5.0,1,18.616708_82.839955,-793092562,142
5.0,1,18.616768_82.842999,-531174252,149
5.0,1,18.616998_82.84222,-531174252,149
5.0,1,18.617277_82.841366,-531174252,149
,0,18.624624_82.933586,221844565,365
4.0,1,18.637046_82.971078,86076202,580
4.0,1,18.637227_82.968882,1431906982,583
4.0,1,18.637924_82.967885,-1953494026,566
4.0,1,18.6389_82.971745,-924595070,583
4.0,1,18.639738_82.971846,1656464677,595
4.0,1,18.639916_82.968455,649836389,576
4.0,1,18.640693_82.972283,1235853683,595
4.0,1,18.641832_82.972375,-850080752,593
0.0,1,18.641893_82.969522,-403164273,574
3.0,1,18.644529_82.974055,-1080693749,607
4.0,1,18.652406_82.811505,1393331388,11
4.0,1,18.652437_82.811106,1393331388,11
5.0,1,18.65244_82.811768,1845897933,12
4.0,1,18.652644_82.812857,-293704174,17
5.0,1,18.652647_82.812143,-2077069125,12
4.0,1,18.652919_82.810902,1393331388,11
5.0,1,18.653207_82.811814,-2077069125,12
4.0,1,18.653365_82.811206,1393331388,11
4.0,1,18.653369_82.81268,-293704174,17
3.0,1,18.676799_82.963237,1483451080,533
3.0,1,18.677433_82.964683,-165636754,533
3.0,1,18.678063_82.960975,2028241291,511
3.0,1,18.678762_82.958297,-1268999070,511
3.0,1,18.678843_82.963663,-1287281884,524
3.0,1,18.679113_82.96907,1595047385,573
3.0,1,18.679282_82.97123,1071635044,588
3.0,1,18.679754_82.975404,1721497167,606
3.0,1,18.680077_82.962886,970498419,524
3.0,1,18.680447_82.973233,-1592382788,596
3.0,1,18.681063_82.964409,-1383303789,531
3.0,1,18.681071_82.975365,-1443733274,606
3.0,1,18.681102_82.975437,-1443733274,606
3.0,1,18.681326_82.957064,208571137,496
3.0,1,18.681329_82.960893,-1277823941,524
3.0,1,18.681538_82.974712,-1443733274,606
3.0,1,18.681742_82.961581,-1750020931,531
3.0,1,18.681765_82.962915,-1181762878,531
3.0,1,18.681858_82.963077,-1181762878,531
3.0,1,18.681878_82.962774,-1181762878,531
3.0,1,18.682446_82.965478,-1880029873,531
3.0,1,18.68257_82.965576,1231994126,558
5.0,1,18.682588_82.96899,-613837261,572
3.0,1,18.68293_82.957086,-1609394776,485
3.0,1,18.682982_82.96547,-59952951,548
3.0,1,18.683549_82.961884,-2092587560,513
3.0,1,18.683884_82.961298,-2092587560,513
1.0,1,18.684793_82.959743,-1296607795,506
,0,18.686431_82.9618,-2107995297,518
3.0,1,18.686566_82.958633,1698032365,504
,0,18.69107_82.868956,1300887895,168
