cluster_labels,habitat_mask,plot_key,snic_clusters,stand_clusters
0,1,21.018825_85.612578,-1277884967,111
0,1,21.018991_85.615656,687705089,111
0,1,21.019655_85.619941,-1931509566,122
0,1,21.019794_85.61085,1622904122,100
0,1,21.019849_85.61665,1889581074,111
0,1,21.021416_85.610006,1287939224,100
0,1,21.02179_85.618937,2084007762,127
0,1,21.021861_85.613366,-523459345,105
0,1,21.022286_85.61525,1805639014,113
0,1,21.023003_85.611504,830587719,100
0,1,21.023941_85.616045,-818976028,117
0,1,21.040585_85.690666,1215419113,167
0,1,21.041399_85.688028,-894418919,167
0,1,21.043315_85.689977,-301352147,171
0,1,21.043929_85.684979,-232518237,144
1,1,21.044343_85.521868,-1918552978,56
1,1,21.044772_85.519605,-975511067,54
1,1,21.045566_85.52362,1348484708,61
1,1,21.046197_85.525567,1865689255,69
1,1,21.046237_85.520861,-350090382,58
0,1,21.046252_85.683699,2111428476,150
1,1,21.047075_85.526962,-746496917,70
0,1,21.047435_85.691744,580030630,177
1,1,21.047558_85.52488,472971926,65
1,1,21.047646_85.527402,-746496917,70
1,1,21.047655_85.526258,-1440002866,65
1,1,21.048412_85.523557,83044070,61
1,1,21.048834_85.524919,-449090485,63
0,1,21.049949_85.690852,-48242468,174
0,1,21.050477_85.686889,-746976793,155
0,1,21.052047_85.690007,1466728202,169
2,1,21.074972_85.389524,1311350267,38
2,1,21.075714_85.392354,-1993467260,45
2,1,21.076582_85.388847,-1203698094,36
2,1,21.077312_85.39015,791188523,39
2,1,21.077442_85.388795,-1339918813,44
2,1,21.077809_85.392112,1830123278,39
2,1,21.078879_85.387094,1707442917,33
2,1,21.078934_85.390421,-1304863795,39
2,1,21.079134_85.389512,1707442917,33
4,1,21.106127_85.565469,-1675978062,84
0,1,21.106491_85.565027,-2053441099,80
4,1,21.107106_85.56567,1409160926,81
4,1,21.10777_85.564995,1261161685,81
4,1,21.108009_85.565539,1261161685,81
4,1,21.108207_85.564337,848177866,81
4,1,21.108502_85.564922,1261161685,81
4,1,21.109137_85.564208,344653695,81
4,1,21.109653_85.563835,344653695,81
4,1,21.110522_85.56385,344653695,81
1,1,21.154502_85.365229,1619189648,17
1,1,21.155752_85.365857,-196250896,13
1,1,21.156085_85.364999,-2053513331,13
1,1,21.156_85.367028,1684641443,17
5,1,21.157913_85.365213,-2077641867,22
5,1,21.158187_85.36696,-1673232192,22
1,1,21.158748_85.364022,1419347712,11
1,1,21.15983_85.365755,-190578391,11
1,1,21.160104_85.363229,237952336,9
5,1,21.161816_85.365742,1854448254,14
